Run,Assay Type,AvgSpotLen,background_strain,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dose,Experiment,Genotype,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue,treatment_duration,treatment
SRR9734462,RNA-Seq,148,C57BL6,8966131200,PRJNA556224,SAMN12343144,3925608456,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491463,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964146,kidney,SRP216037,kidney,None,No treatment
SRR9734463,RNA-Seq,148,C57BL6,8332540181,PRJNA556224,SAMN12343194,3605458029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491464,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964147,kidney,SRP216037,kidney,None,No treatment
SRR9734468,RNA-Seq,148,C57BL6,6593664057,PRJNA556224,SAMN12343195,2904414458,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0mpk,SRX6491469,Pdk2KO,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964152,kidney,SRP216037,kidney,"p10,p11,p12,p19",PBS
SRR9734469,RNA-Seq,147,C57BL6,5445416076,PRJNA556224,SAMN12343191,2406843575,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0mpk,SRX6491470,Pdk2KO,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964153,kidney,SRP216037,kidney,"p10,p11,p12,p19",PBS
SRR9734470,RNA-Seq,148,C57BL6,6692682237,PRJNA556224,SAMN12343190,2954321378,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0mpk,SRX6491471,Pdk2KO,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964154,kidney,SRP216037,kidney,"p10,p11,p12,p19",PBS
SRR9734471,RNA-Seq,148,C57BL6,8452676433,PRJNA556224,SAMN12343189,3707270688,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0mpk,SRX6491472,Pdk2KO,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964155,kidney,SRP216037,kidney,"p10,p11,p12,p19",PBS
SRR9734472,RNA-Seq,148,C57BL6,8558890746,PRJNA556224,SAMN12343188,3732314348,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491473,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964156,kidney,SRP216037,kidney,None,No treatment
SRR9734473,RNA-Seq,148,C57BL6,10981868521,PRJNA556224,SAMN12343187,4582231055,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491474,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964157,kidney,SRP216037,kidney,None,No treatment
SRR9734474,RNA-Seq,148,C57BL6,6190103278,PRJNA556224,SAMN12343186,2738814619,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491475,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964158,kidney,SRP216037,kidney,None,No treatment
SRR9734475,RNA-Seq,148,C57BL6,4151621494,PRJNA556224,SAMN12343185,1810059160,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",None,SRX6491476,wildtype,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-08T00:00:00Z,GSM3964159,kidney,SRP216037,kidney,None,No treatment
