"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
11,"Feasibility Study of Metformin Therapy in ADPKD","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Metformin|Drug: Placebo","University of Colorado Denver, Anschutz Medical Campus, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT02903511"
12,"Tolvaptan Open-label Pilot Efficacy, Tolerability, and Safety Study in Autosomal Dominant Polycystic Kidney Disease (ADPKD)","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Tolvaptan","University of Colorado, Denver, Colorado, United States|Jacksonville Center for Clinical Research, Jacksonville, Florida, United States|Emory University School of Medicine, Atlanta, Georgia, United States|Univerisity of Kansas Medical Center, Kansas City, Kansas, United States|Johns Hopkins School of Medicine, Baltimore, Maryland, United States|Davita Clinical Research, Minneapolis, Minnesota, United States|Mayo Medical Center, Rochester, Minnesota, United States|Rogosin Institute, New York, New York, United States|Northwest Renal Clinic, Portland, Oregon, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Nephrology Clinical Research Center at the University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00413777"
13,"The Kidneys Ability to Concentrate and Dilute Urine in Patients With Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Polycystic Kidney, Autosomal Dominant|Chronic Kidney Diseases","Other: Fluid intake|Other: Thirsting","Department of Medical Research, Regional Hospital Holstebro, Holstebro, Denmark","https://ClinicalTrials.gov/show/NCT04363554"
14,"A Study of RGLS8429 in Patients With Autosomal Dominant Polycystic Kidney Disease","Not yet recruiting","No Results Available","Autosomal Dominant Polycystic Kidney Disease|ADPKD|Polycystic Kidney, Autosomal Dominant","Drug: RGLS8429|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT05521191"
15,"Effect of Tolvaptan on Renal Plasma Flow (RPF) and Glomerular Filtration Rate (GFR) in ADPKD","Completed","No Results Available","Polycystic Kidney, Autosomal Dominant","Drug: Tolvaptan|Drug: Placebo","Departments of medical research and medicine, Holstebro, Denmark","https://ClinicalTrials.gov/show/NCT03803124"
16,"Pravastatin and Alkali Therapy in Patients With Autosomal Dominant Polycystic Kidney Disease","Enrolling by invitation","No Results Available","Autosomal Dominant Polycystic Kidney Disease","Drug: Pravastatin|Drug: sodium citrate","Keck School of Medicine of University of Southern California, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT04284657"
17,"To Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Oral AL01211 in Healthy Volunteers and Autosomal Dominant Polycystic Kidney Disease Subjects","Active, not recruiting","No Results Available","Autosomal Dominant Polycystic Kidney","Drug: AL01211 or Placebo (Part A)|Drug: AL01211 or Placebo (Part B)","Nucleus Network, Melbourne, Victoria, Australia","https://ClinicalTrials.gov/show/NCT04908462"
18,"A Clinical Trial of Water Therapy for Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Autosomal Dominant Polycystic Kidney","Other: High Water Intake","The Rogosin Institute, New York, New York, United States","https://ClinicalTrials.gov/show/NCT03102632"
19,"Subacute Effect of Tolvaptan on Total Kidney Volume in Adult Patients With Autosomal Dominant Polycystic Kidney Disease","Unknown status","No Results Available","Autosomal Dominant Polycystic Kidney","Drug: Tolvaptan","Aarhus University Hospital - Site 43, Skejby, Aarhus N, Denmark|Odense University Hospital - Site 45, Odense, Odense C, Denmark|Rigshospitalet - Site 42, Copenhagen, Denmark|Herlev Hospital, Herlev, Denmark|Nordsjaellands Hospital - Site 41, Hillerød, Denmark|Sjællands University Hospital Roskilde, Roskilde, Denmark","https://ClinicalTrials.gov/show/NCT03596957"
20,"Curcumin Therapy to Treat Vascular Dysfunction in Children and Young Adults With ADPKD","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Curcumin|Other: Placebo","University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT02494141"
21,"A Study to Evaluate the Effects of GLPG2737 in Participants With Autosomal Dominant Polycystic Kidney Disease (ADPKD)","Active, not recruiting","No Results Available","Autosomal Dominant Polycystic Kidney Disease","Drug: Placebo|Drug: GLPG2737","Cliniques Universitaires St. Luc (UCL), Brussels, Belgium|UZ Leuven, Leuven, Belgium|Fakultni nemocnice u sv. Anny v Brne, Brno, Czechia|Fakultni nemocnice Hradec Kralove, Hradec Králové, Czechia|Vseobecna fakultni nemocnice v Praze, Praha, Czechia|Uniklinikum Dresden, Dresden, Germany|IRCSS Ospedale San Raffaele, Milan, Italy|Azienda Ospedaliera Universitaria Federico II, Napoli, Italy|Uni Campania L. Vanvitelli, Napoli, Italy|Fondazione Salvatore Maugeri IRCCS, Pavia, Italy|Amsterdam UMC, Amsterdam, Netherlands|UMCG, Groningen, Netherlands|Radboud UMC, Nijmegen, Netherlands|Specjalistyczne Centrum Medyczne SCM Spółka z o.o., Kraków, Poland|DaVita Sp. z o.o. Stacja Dializ, Warsaw, Poland|Szpital Kliniczny UM w Lodzi, Łódź, Poland|Fundacion Puigvert, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Nefrologia Clinica C.P., Madrid, Spain|Hospital Universitario Dr. Peset, Valencia, Spain","https://ClinicalTrials.gov/show/NCT04578548"
22,"The ELiSA Study - Evaluation of Lixivaptan in Subjects With Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Autosomal Dominant Polycystic Kidney Disease","Drug: Lixivaptan","Palladio Biosciences Clinical Site, Los Angeles, California, United States|Palladio Biosciences Clinical Site, Jacksonville, Florida, United States|Palladio Biosciences Clinical Site, Miami, Florida, United States|Palladio Biosciences Clinical Site, Miami, Florida, United States|Palladio Biosciences Clinical Site, Palmetto Bay, Florida, United States|Palladio Biosciences Clinical Site, Tampa, Florida, United States|Palladio Biosciences Clinical Site, Baltimore, Maryland, United States|Palladio Biosciences Clinical Site, Rochester, Minnesota, United States|Palladio Biosciences Clinical Site, Kansas City, Missouri, United States|Palladio Biosciences Clinical Site, Laurelton, New York, United States|Palladio Biosciences Clinical Site, Indiana, Pennsylvania, United States|Palladio Biosciences Clinical Site, Nashville, Tennessee, United States|Palladio Biosciences Clinical Site, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT03487913"
23,"8-Week Study of Tolvaptan Dose Forms in Autosomal Dominant Polycystic Kidney Disease (ADPKD)","Completed","Has Results","Autosomal Dominant Polycystic Kidney Disease","Drug: Tolvaptan MR|Drug: Tolvaptan IR|Drug: Placebo","Otsuka Investigational Site, Huntsville, Alabama, United States|Otsuka Investigational Site, Mobile, Alabama, United States|Otsuka Investigational Site, Peoria, Arizona, United States|Otsuka Investigational Site, Tempe, Arizona, United States|Otsuka Investigational Site, Los Angeles, California, United States|Otsuka Investigational Site, San Diego, California, United States|Otsuka Investigational Site 2, Aurora, Colorado, United States|Otsuka Investigational Site, Aurora, Colorado, United States|Otsuka Investigational Site, Denver, Colorado, United States|Otsuka Investigational Site, New Haven, Connecticut, United States|Otsuka Investigational Site, Jacksonville, Florida, United States|Otsuka Investigational Site, Melbourne, Florida, United States|Otsuka Investigational Site, Atlanta, Georgia, United States|Otsuka Investigational Site, Augusta, Georgia, United States|Otsuka Investigational Site, Peoria, Illinois, United States|Otsuka Investigational Site, Mishawaka, Indiana, United States|Otsuka Investigational Site, Kansas City, Kansas, United States|Otsuka Investigational Site, Paducah, Kentucky, United States|Otsuka Investigational Site, Shreveport, Louisiana, United States|Otsuka Investigational Site, Baltimore, Maryland, United States|Otsuka Investigational Site, Rockville, Maryland, United States|Otsuka Investigational Site, Boston, Massachusetts, United States|Otsuka Investigational Site, Detroit, Michigan, United States|Otsuka Investigational Site, Rochester, Minnesota, United States|Otsuka Investigational Site, Voorhees, New Jersey, United States|Otsuka Investigational Site, Buffalo, New York, United States|Otsuka Investigational Site, Chapel Hill, North Carolina, United States|Otsuka Investigational Site, Cleveland, Ohio, United States|Otsuka Investigational Site, Bethlehem, Pennsylvania, United States|Otsuka Investigational Site, Philadelphia, Pennsylvania, United States|Otsuka Investigational Site, Anderson, South Carolina, United States|Otsuka Investigational Site, Nashville, Tennessee, United States|Otsuka Investigational Site, Arlington, Texas, United States|Otsuka Investigational Site, Mission, Texas, United States|Otsuka Investigational Site, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT01451827"
24,"Adrenal Functions in Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Autosomal Dominant Polycystic Kidney Disease","Drug: Tetracosactin","Istanbul Univetsity, Istanbul Medical Faculty, Department of Internal Medicine, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT00598377"
