"","ID","ApplNo.x","ProductNo.x","Form","Strength","ReferenceDrug","DrugName","ActiveIngredient","ReferenceStandard","MarketingStatusID","ApplNo.y","ProductNo.y","MarketingStatusDescription"
"45","10721_1",10721,1,"TABLET;ORAL","50MG",1,"ANTIVERT","MECLIZINE HYDROCHLORIDE","0",1,10721,1,"Prescription"
"46","11145_5",11145,5,"INJECTABLE;INJECTION","EQ 500MG BASE/VIAL",1,"DIURIL","CHLOROTHIAZIDE SODIUM","1",1,11145,5,"Prescription"
"47","11153_1",11153,1,"TABLET;ORAL","4MG",1,"MEDROL","METHYLPREDNISOLONE","0",1,11153,1,"Prescription"
"48","11210_1",11210,1,"CAPSULE;ORAL","100MG",1,"TESSALON","BENZONATATE","0",1,11210,1,"Prescription"
"49","11245_3",11245,3,"SOLUTION;ORAL, RECTAL","66%;10%",1,"GASTROGRAFIN","DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM","1",1,11245,3,"Prescription"
"50","11366_2",11366,2,"TABLET;ORAL","50MG",1,"KEVEYIS","DICHLORPHENAMIDE","1",1,11366,2,"Prescription"
"51","11459_2",11459,2,"CAPSULE;ORAL","EQ 25MG HYDROCHLORIDE",1,"VISTARIL","HYDROXYZINE PAMOATE","0",1,11459,2,"Prescription"
"52","11525_1",11525,1,"INJECTABLE;INJECTION","25MG/VIAL",1,"IC-GREEN","INDOCYANINE GREEN","1",1,11525,1,"Prescription"
"53","11559_1",11559,1,"INJECTABLE;INJECTION","500MG/VIAL",1,"BREVITAL SODIUM","METHOHEXITAL SODIUM","1",1,11559,1,"Prescription"
"54","11665_1",11665,1,"TABLET, EXTENDED RELEASE;ORAL","180MG",1,"MESTINON","PYRIDOSTIGMINE BROMIDE","1",1,11665,1,"Prescription"
"55","11719_10",11719,10,"INJECTABLE;INJECTION","EQ 50MG BASE/2ML (EQ 25MG BASE/ML)",1,"METHOTREXATE SODIUM","METHOTREXATE SODIUM","1",1,11719,10,"Prescription"
"56","11757_1",11757,1,"INJECTABLE;INJECTION","40MG/ML",1,"DEPO-MEDROL","METHYLPREDNISOLONE ACETATE","0",1,11757,1,"Prescription"
"57","11790_1",11790,1,"SOLUTION;IM-IV","1GM/10ML (100MG/ML)",1,"ROBAXIN","METHOCARBAMOL","1",1,11790,1,"Prescription"
"58","11792_1",11792,1,"TABLET;ORAL","350MG",1,"SOMA","CARISOPRODOL","0",1,11792,1,"Prescription"
"59","11839_1",11839,1,"TABLET;ORAL","2.5MG",1,"PROVERA","MEDROXYPROGESTERONE ACETATE","0",1,11839,1,"Prescription"
"60","11856_3",11856,3,"INJECTABLE;INJECTION","EQ 40MG BASE/VIAL",1,"SOLU-MEDROL","METHYLPREDNISOLONE SODIUM SUCCINATE","1",1,11856,3,"Prescription"
"61","11870_1",11870,1,"SUSPENSION;ORAL","250MG/5ML",1,"DIURIL","CHLOROTHIAZIDE","1",1,11870,1,"Prescription"
"62","11909_2",11909,2,"TABLET;ORAL","EQ 15MG BASE",1,"NARDIL","PHENELZINE SULFATE","1",1,11909,2,"Prescription"
"63","11961_1",11961,1,"TABLET;ORAL","10MG",1,"MARPLAN","ISOCARBOXAZID","1",1,11961,1,"Prescription"
"64","11963_1",11963,1,"FOR SOLUTION;OPHTHALMIC","0.125%",1,"PHOSPHOLINE IODIDE","ECHOTHIOPHATE IODIDE","1",1,11963,1,"Prescription"
"65","12041_1",12041,1,"INJECTABLE;INJECTION","10MG/ML",1,"KENALOG-10","TRIAMCINOLONE ACETONIDE","0",1,12041,1,"Prescription"
"66","12093_1",12093,1,"TABLET;ORAL","40MG",1,"ISORDIL","ISOSORBIDE DINITRATE","1",1,12093,1,"Prescription"
"67","12141_1",12141,1,"TABLET;ORAL","50MG",1,"CYTOXAN","CYCLOPHOSPHAMIDE","1",1,12141,1,"Prescription"
"68","12151_10",12151,10,"TABLET;ORAL","100MG",1,"ALDACTONE","SPIRONOLACTONE","1",1,12151,10,"Prescription"
"69","12179_1",12179,1,"SOLUTION/DROPS;OTIC","2%",0,"VOSOL","ACETIC ACID, GLACIAL","1",1,12179,1,"Prescription"
"70","12250_1",12250,1,"INJECTABLE;INJECTION","1%",1,"CARBOCAINE","MEPIVACAINE HYDROCHLORIDE","1",1,12250,1,"Prescription"
"71","12342_3",12342,3,"TABLET;ORAL","EQ 10MG BASE",1,"PARNATE","TRANYLCYPROMINE SULFATE","1",1,12342,3,"Prescription"
"72","12380_1",12380,1,"CAPSULE;ORAL","250MG",1,"ZARONTIN","ETHOSUXIMIDE","1",1,12380,1,"Prescription"
"73","12429_1",12429,1,"TABLET;ORAL","40MG",1,"THIOGUANINE","THIOGUANINE","1",1,12429,1,"Prescription"
"74","12462_1",12462,1,"TABLET;ORAL","0.025MG;2.5MG",1,"LOMOTIL","ATROPINE SULFATE; DIPHENOXYLATE HYDROCHLORIDE","1",1,12462,1,"Prescription"
"75","125019_1",125019,1,"INJECTABLE; INJECTION","3.2MG/2ML",0,"ZEVALIN","IBRITUMOMAB TIUXETAN","",1,125019,1,"Prescription"
"76","125031_1",125031,1,"SYRINGE","6MG/0.6ML",0,"NEULASTA","PEGFILGRASTIM","",1,125031,1,"Prescription"
"77","125057_1",125057,1,"SYRINGE","40MG/0.8ML",0,"HUMIRA","ADALIMUMAB","",1,125057,1,"Prescription"
"78","125058_1",125058,1,"VIAL","2.9MG/ML",0,"ALDURAZYME","LARONIDASE","",1,125058,1,"Prescription"
"79","125084_1",125084,1,"VIAL; INTRAVENOUS","100mg/VIAL",0,"ERBITUX","CETUXIMAB","",1,125084,1,"Prescription"
"80","125085_1",125085,1,"VIAL; INTRAVENOUS","100MG",0,"AVASTIN","BEVACIZUMAB","",1,125085,1,"Prescription"
"81","125103_1",125103,1,"INJECTABLE; INJECTION","60MCG/KG/DAY",0,"KEPIVANCE","PALIFERMIN","",1,125103,1,"Prescription"
"82","125104_1",125104,1,"VIAL; SINGLE-USE","300MG",0,"TYSABRI","NATALIZUMAB","",1,125104,1,"Prescription"
"83","125117_1",125117,1,"INJECTABLE; INJECTION","5MG/5ML",0,"NAGLAZYME","GALSULFASE","",1,125117,1,"Prescription"
"84","125118_1",125118,1,"INJECTABLE; IV (INFUSION)","250MG",0,"ORENCIA","ABATACEPT","",1,125118,1,"Prescription"
"85","125141_1",125141,1,"INJECTABLE; IV (INFUSION)","20MG/KG",0,"MYOZYME","ALGLUCOSIDASE ALFA","",1,125141,1,"Prescription"
"86","125147_1",125147,1,"INJECTABLE; IV (INFUSION)","5ML/100MG",0,"VECTIBIX","PANITUMUMAB","",1,125147,1,"Prescription"
"87","125151_1",125151,1,"INJECTABLE; IV (INFUSION)","6MG/3ML",0,"ELAPRASE","IDURSULFASE","",1,125151,1,"Prescription"
"88","125156_1",125156,1,"INJECTABLE; INJECTION","10MG/ML",0,"LUCENTIS","RANIBIZUMAB","",1,125156,1,"Prescription"
"89","125160_1",125160,1,"INJECTABLE; INJECTION","200MG",0,"CIMZIA","CERTOLIZUMAB PEGOL","",1,125160,1,"Prescription"
"90","125164_1",125164,1,"SOLUTION; INJECTION","0.6MG/KG",0,"MIRCERA","METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA","",1,125164,1,"Prescription"
"91","125166_1",125166,1,"INJECTABLE; IV (INFUSION)","300MG",0,"SOLIRIS","ECULIZUMAB","",1,125166,1,"Prescription"
"92","125249_1",125249,1,"VIAL; SINGLE-USE","220MG",0,"ARCALYST","RILONACEPT","",1,125249,1,"Prescription"
"93","125261_1",125261,1,"INJECTABLE; INJECTION","45MG/0.5ML",0,"STELARA","USTEKINUMAB","",1,125261,1,"Prescription"
"94","125268_1",125268,1,"INJECTABLE; SUBCUTANEOUS","250MCG/0.5ML; 500MCG/1ML.",2,"NPLATE","ROMIPLOSTIM","",1,125268,1,"Prescription"
"95","125274_1",125274,1,"INJECTABLE; INJECTION","500 UNITS/VIAL",0,"DYSPORT","abobotulinumtoxinA","",1,125274,1,"Prescription"
"96","125276_1",125276,1,"INJECTABLE; INJECTION","80MG/4ML",0,"ACTEMRA","TOCILIZUMAB","",1,125276,1,"Prescription"
"97","125277_1",125277,1,"INJECTABLE; INJECTION","10MG/ML",0,"KALBITOR","ECALLANTIDE","",1,125277,1,"Prescription"
"98","125288_1",125288,1,"INJECTABLE; INJECTION","250MG",0,"NULOJIX","BELATACEPT","",1,125288,1,"Prescription"
"99","125289_1",125289,1,"INJECTABLE; INJECTION","50MG",2,"SIMPONI","GOLIMUMAB","",1,125289,1,"Prescription"
"100","125293_1",125293,1,"INJECTABLE; INJECTION","8MG",2,"KRYSTEXXA","PEGLOTICASE","",1,125293,1,"Prescription"
"101","125294_1",125294,1,"INJECTABLE; INJECTION","300MCG/0.5ML",0,"GRANIX","TBO-FILGRASTIM","",1,125294,1,"Prescription"
"102","125319_1",125319,1,"INJECTABLE; SUBCUTANEOUS","180MG",0,"ILARIS","CANAKINUMAB","",1,125319,1,"Prescription"
"103","125320_1",125320,1,"INJECTABLE; SUBCUTANEOUS","60MG/ML",0,"PROLIA","DENOSUMAB","",1,125320,1,"Prescription"
"104","125326_1",125326,1,"INJECTABLE; INJECTION","100MG/5ML",0,"ARZERRA","OFATUMUMAB","",1,125326,1,"Prescription"
"105","125327_1",125327,1,"INJECTABLE; INJECTION","1000 UNITS PER VIAL",0,"VORAXAZE","GLUCARPIDASE","",1,125327,1,"Prescription"
"106","125338_1",125338,1,"SOLUTION; INJECTION","0.9MG",0,"XIAFLEX","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","",1,125338,1,"Prescription"
"107","125349_1",125349,1,"INJECTABLE; IV (INFUSION)","1700MG/34ML (50MG/ML)",2,"RAXIBACUMAB","RAXIBACUMAB","",1,125349,1,"Prescription"
"108","125360_1",125360,1,"INJECTABLE;INJECTION","50 UNITS/VIAL",0,"Xeomin","incobotulinumtoxinA","",1,125360,1,"Prescription"
"109","125370_1",125370,1,"INJECTABLE; INJECTION","120MG",0,"BENLYSTA","BELIMUMAB","",1,125370,1,"Prescription"
"110","125377_1",125377,1,"INJECTABLE; INJECTION","3MG",0,"YERVOY","IPILIMUMAB","",1,125377,1,"Prescription"
"111","125387_1",125387,1,"INJECTABLE; INJECTION","40MG/ML",0,"EYLEA","AFLIBERCEPT","",1,125387,1,"Prescription"
"112","125388_1",125388,1,"INJECTABLE; INJECTION","50MG/VIAL",0,"ADCETRIS","BRENTUXIMAB VEDOTIN","",1,125388,1,"Prescription"
"113","125390_1",125390,1,"INJECTABLE;INJECTION","11.3MG",0,"MYALEPT","METRELEPTIN","",1,125390,1,"Prescription"
"114","125409_1",125409,1,"VIAL; SINGLE-USE","420MG/14ML",0,"PERJETA","PERTUZUMAB","",1,125409,1,"Prescription"
"115","125418_1",125418,1,"INJECTABLE; INJECTION","4MG",0,"ZALTRAP","ZIV-AFLIBERCEPT","",1,125418,1,"Prescription"
"116","125422_1",125422,1,"INJECTABLE; INTRAVITREAL","2.5MG/ML",0,"JETREA","OCRIPLASMIN","",1,125422,1,"Prescription"
"117","125427_1",125427,1,"VIAL; SINGLE-USE","100MG",0,"KADCYLA","ADO-TRASTUZUMAB EMTANSINE","",1,125427,1,"Prescription"
"118","125460_1",125460,1,"INJECTABLE;INJECTION","5MG/5ML",0,"VIMIZIM","ELOSULFASE ALFA","",1,125460,1,"Prescription"
"119","125469_1",125469,1,"INJECTABLE;INJECTION","0.75MG/0.5ML",0,"TRULICITY","DULAGLUTIDE","",1,125469,1,"Prescription"
"120","125476_1",125476,1,"INJECTABLE;INJECTION","300MG",0,"ENTYVIO","VEDOLIZUMAB","",1,125476,1,"Prescription"
"121","125477_1",125477,1,"INJECTABLE;INJECTION","100MG/10ML",0,"CYRAMZA","RAMUCIRUMAB","",1,125477,1,"Prescription"
"122","125486_1",125486,1,"INJECTABLE;INJECTION","1000MG/40ML",0,"GAZYVA","OBINUTUZUMAB","",1,125486,1,"Prescription"
"123","125496_1",125496,1,"INJECTABLE;INJECTION","100MG",0,"SYLVANT","SILTUXIMAB","",1,125496,1,"Prescription"
"124","125499_1",125499,1,"INJECTABLE;INJECTION","125MICROGRAMS/0.5ML",0,"PLEGRIDY","PEGINTERFERON BETA-1A","",1,125499,1,"Prescription"
"125","125504_1",125504,1,"INJECTABLE;INJECTION","150MG/ML",2,"COSENTYX","SECUKINUMAB","",1,125504,1,"Prescription"
"126","125509_1",125509,1,"INJECTABLE;INJECTION","600MG/6ML",0,"ANTHIM","OBILTOXAXIMAB","",1,125509,1,"Prescription"
"127","125511_1",125511,1,"INJECTABLE;INJECTION","25MCG",2,"NATPARA","PARATHYROID HORMONE","",1,125511,1,"Prescription"
"128","125513_1",125513,1,"SOLUTION;INJECTION","18MG/0.45ML",0,"STRENSIQ","ASFOTASE ALFA","",1,125513,1,"Prescription"
"129","125514_1",125514,1,"SOLUTION;INTRAVENOUS","100MG/4ML (25MG/ML)",0,"KEYTRUDA","PEMBROLIZUMAB","",1,125514,1,"Prescription"
"130","125516_1",125516,1,"INJECTABLE;INTRAVENOUS","17.5MG/5ML",0,"UNITUXIN","DINUTUXIMAB","",1,125516,1,"Prescription"
"131","125521_1",125521,1,"INJECTABLE;INJECTION","80MG/ML",0,"TALTZ","IXEKIZUMAB","",1,125521,1,"Prescription"
"132","125522_1",125522,1,"INJECTABLE;INJECTION","140MG/ML",2,"REPATHA","EVOLOCUMAB","",1,125522,1,"Prescription"
"133","125526_1",125526,1,"INJECTABLE;SUBCUTANEOUS LYOPHILIZED POWER","100MG",0,"NUCALA","MEPOLIZUMAB","",1,125526,1,"Prescription"
"134","125527_1",125527,1,"INJECTABLE;INJECTION","40MG/4ML",0,"OPDIVO","NIVOLUMAB","",1,125527,1,"Prescription"
"135","125544_1",125544,1,"INJECTABLE;INJECTION","100MG",2,"INFLECTRA","INFLIXIMAB-DYYB","",1,125544,1,"Prescription"
"136","125545_1",125545,1,"INJECTABLE;INJECTION","2,000UNITS/ML",0,"RETACRIT","EPOETIN ALFA-EPBX","0",1,125545,1,"Prescription"
"137","125547_1",125547,1,"INJECTABLE;INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVITREAL","800MG/50ML",2,"PORTRAZZA","NECITUMUMAB","",1,125547,1,"Prescription"
"138","125553_1",125553,1,"INJECTABLE;INJECTION","300 mcg/0.5 mL",0,"ZARXIO","FILGRASTIM-SNDZ","",1,125553,1,"Prescription"
"139","125557_1",125557,1,"INJECTABLE;INJECTION","35MCG",0,"BLINCYTO","BLINATUMOMAB","",1,125557,1,"Prescription"
"140","125559_1",125559,1,"INJECTABLE;INJECTION","75MG",2,"PRALUENT","ALIROCUMAB","",1,125559,1,"Prescription"
"141","125561_1",125561,1,"INJECTABLE;INJECTION","20MG/10ML",0,"KANUMA","SEBELIPASE ALFA","",1,125561,1,"Prescription"
"142","12616_4",12616,4,"TABLET;ORAL","25MG;25MG",1,"ALDACTAZIDE","HYDROCHLOROTHIAZIDE; SPIRONOLACTONE","0",1,12616,4,"Prescription"
"143","12623_1",12623,1,"TABLET;ORAL","250MG",1,"FLAGYL","METRONIDAZOLE","0",1,12623,1,"Prescription"
"144","12750_1",12750,1,"CAPSULE;ORAL","5MG;2.5MG",1,"LIBRAX","CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE","1",1,12750,1,"Prescription"
"145","12770_1",12770,1,"SOLUTION/DROPS;OTIC","2%;1%",1,"VOSOL HC","ACETIC ACID, GLACIAL; HYDROCORTISONE","1",1,12770,1,"Prescription"
"146","12787_2",12787,2,"CREAM;TOPICAL","0.025%",1,"SYNALAR","FLUOCINOLONE ACETONIDE","1",1,12787,2,"Prescription"
"147","12806_1",12806,1,"OINTMENT;TOPICAL","0.05%",1,"CORDRAN","FLURANDRENOLIDE","1",1,12806,1,"Prescription"
"148","12813_2",12813,2,"SUSPENSION;OPHTHALMIC","0.2%;10%",1,"BLEPHAMIDE","PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM","1",1,12813,2,"Prescription"
"149","12827_1",12827,1,"TABLET;ORAL","1MG",1,"ROBINUL","GLYCOPYRROLATE","0",1,12827,1,"Prescription"
"150","12836_3",12836,3,"TABLET;ORAL","25MG",1,"PERSANTINE","DIPYRIDAMOLE","0",1,12836,3,"Prescription"
"151","12911_2",12911,2,"CAPSULE;ORAL","250MG",1,"METOPIRONE","METYRAPONE","1",1,12911,2,"Prescription"
"152","13025_2",13025,2,"SOLUTION;INJECTION","18GM/500ML (3.6GM/100ML)",1,"THAM","TROMETHAMINE","1",1,13025,2,"Prescription"
"153","13026_2",13026,2,"TABLET;ORAL","250MG",1,"TRECATOR","ETHIONAMIDE","1",1,13026,2,"Prescription"
"154","13174_1",13174,1,"CAPSULE;ORAL","50MG",1,"DYRENIUM","TRIAMTERENE","0",1,13174,1,"Prescription"
"155","13217_3",13217,3,"TABLET;ORAL","800MG",1,"SKELAXIN","METAXALONE","1",1,13217,3,"Prescription"
"156","13263_2",13263,2,"TABLET;ORAL","2MG",1,"VALIUM","DIAZEPAM","0",1,13263,2,"Prescription"
"157","13295_1",13295,1,"INJECTABLE;INJECTION","60%",1,"CONRAY","IOTHALAMATE MEGLUMINE","1",1,13295,1,"Prescription"
"158","13422_1",13422,1,"SUSPENSION/DROPS;OPHTHALMIC","0.1%",1,"MAXIDEX","DEXAMETHASONE","1",1,13422,1,"Prescription"
"159","13684_1",13684,1,"INJECTABLE;INJECTION","5GM/100ML",0,"OSMITROL 5% IN WATER","MANNITOL","0",1,13684,1,"Prescription"
"160","14134_1",14134,1,"INJECTABLE;INJECTION","1GM/VIAL",1,"PROTOPAM CHLORIDE","PRALIDOXIME CHLORIDE","1",1,14134,1,"Prescription"
"161","14399_1",14399,1,"TABLET;ORAL","25MG",1,"NORPRAMIN","DESIPRAMINE HYDROCHLORIDE","0",1,14399,1,"Prescription"
"162","14602_1",14602,1,"INJECTABLE;INJECTION","3MG/ML;EQ 3MG BASE/ML",1,"CELESTONE SOLUSPAN","BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE","1",1,14602,1,"Prescription"
"163","14879_1",14879,1,"INJECTABLE;INJECTION","20MG/ML",1,"DOPRAM","DOXAPRAM HYDROCHLORIDE","1",1,14879,1,"Prescription"
"164","15034_3",15034,3,"CAPSULE;ORAL","250MG",1,"PONSTEL","MEFENAMIC ACID","1",1,15034,3,"Prescription"
"165","1504_1",1504,1,"UNKNOWN","UNKNOWN",0,"VERARD","VERARD","0",1,1504,1,"Prescription"
"166","15197_1",15197,1,"TABLET;ORAL","500MG",1,"AMICAR","AMINOCAPROIC ACID","0",1,15197,1,"Prescription"
"167","16084_1",16084,1,"TABLET;ORAL","100MG",1,"ZYLOPRIM","ALLOPURINOL","0",1,16084,1,"Prescription"
"168","16092_1",16092,1,"TABLET;ORAL","25MG",1,"EDECRIN","ETHACRYNIC ACID","1",1,16092,1,"Prescription"
"169","16093_1",16093,1,"INJECTABLE;INJECTION","EQ 50MG BASE/VIAL",1,"EDECRIN","ETHACRYNATE SODIUM","1",1,16093,1,"Prescription"
"170","16151_1",16151,1,"TABLET;ORAL","1GM",0,"UREX","METHENAMINE HIPPURATE","0",1,16151,1,"Prescription"
"171","16199_1",16199,1,"ENEMA;RECTAL","100MG/60ML",1,"CORTENEMA","HYDROCORTISONE","1",1,16199,1,"Prescription"
"172","16267_1",16267,1,"INJECTABLE;INJECTION","500MG/VIAL",1,"DESFERAL","DEFEROXAMINE MESYLATE","1",1,16267,1,"Prescription"
"173","16273_1",16273,1,"TABLET;ORAL","40MG",1,"LASIX","FUROSEMIDE","0",1,16273,1,"Prescription"
"174","16295_1",16295,1,"CAPSULE;ORAL","500MG",1,"HYDREA","HYDROXYUREA","1",1,16295,1,"Prescription"
"175","16320_1",16320,1,"TABLET;ORAL","100MG",1,"MYAMBUTOL","ETHAMBUTOL HYDROCHLORIDE","0",1,16320,1,"Prescription"
"176","16324_1",16324,1,"TABLET;ORAL","50MG",1,"IMURAN","AZATHIOPRINE","1",1,16324,1,"Prescription"
"177","16366_1",16366,1,"INJECTABLE;INJECTION","900MG/100ML",1,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","SODIUM CHLORIDE","1",1,16366,1,"Prescription"
"178","16367_2",16367,2,"INJECTABLE;INJECTION","50MG/ML",1,"DEXTROSE 5% IN PLASTIC CONTAINER","DEXTROSE","1",1,16367,2,"Prescription"
"179","16608_1",16608,1,"TABLET;ORAL","200MG",1,"TEGRETOL","CARBAMAZEPINE","1",1,16608,1,"Prescription"
"180","16619_1",16619,1,"INJECTABLE;INJECTION","EQ 0.05MG BASE/ML",1,"SUBLIMAZE PRESERVATIVE FREE","FENTANYL CITRATE","1",1,16619,1,"Prescription"
"181","16620_1",16620,1,"CAPSULE;ORAL","50MG",1,"MACRODANTIN","NITROFURANTOIN, MACROCRYSTALLINE","0",1,16620,1,"Prescription"
"182","16678_1",16678,1,"INJECTABLE;INJECTION","5GM/100ML;900MG/100ML",0,"DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","DEXTROSE; SODIUM CHLORIDE","0",1,16678,1,"Prescription"
