"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"18","bisacodyl","HA1E","trt_cp","down",-0.314471456887195,0.000142914655623768,0.005103174758233,-1.23871789009036,-94.243641231593,2241,0,100,100,NA,"Laxative","2391","laxative","","gastroenterology","constipation","Launched"
"19","levomepromazine","HA1E","trt_cp","down",-0.311718146851298,0.000167807220488809,0.00562901359473263,-1.2278724720922,-92.2802320392682,2241,-0.0316712386353726,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1","Dopamine receptor antagonist","45479743","dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR2A, HTR2C","neurology/psychiatry, gastroenterology","psychosis, schizophrenia, bipolar disorder, nausea, insomnia","Launched"
"20","UCL-2077","HA1E","trt_cp","down",-0.311563446760389,0.000167807220488809,0.00562901359473263,-1.22726310114291,-88.2195448460509,2241,0,100,100,NA,"Slow after hyperpolarization channel blocker","24868317","slow afterhyperpolarization channel blocker","","","","Preclinical"
"21","EMD-386088","HA1E","trt_cp","down",-0.308654582126161,0.000219746514486058,0.0066834353538857,-1.21580494625046,-89.0673806336457,2241,0,100,100,"HTR6","Serotonin receptor agonist","10131112","serotonin receptor agonist","HTR6","","","Preclinical"
"22","YM-976","HA1E","trt_cp","down",-0.306118214683422,0.000288462178685184,0.00809808667297271,-1.20581407535151,-92.4141008478358,2241,0,100,100,"PDE4A; PDE4B; PDE4C; PDE4D; TNF","Phosphodiesterase inhibitor","6604918","phosphodiesterase inhibitor","PDE4A","","","Phase 1"
"23","IB-MECA","HA1E","trt_cp","down",-0.301699098033632,0.000416711109904199,0.0106450115435005,-1.1884069665898,-83.2217759928603,2241,0,100,100,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor agonist","3668","adenosine receptor agonist","ADORA1, ADORA2A, ADORA2B, ADORA3","","","Phase 3"
"24","mepacrine","HA1E","trt_cp","down",-0.301509527804822,0.000416711109904199,0.0106450115435005,-1.18766024052385,-87.2824631860776,2241,0,100,100,"AKT1; MTOR; NFKB1; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G4A; PLA2G6; PLCL1; TP53","Cytokine production inhibitor; NFkB pathway inhibitor; TP53 activator","237","cytokine production inhibitor, NFkB pathway inhibitor, TP53 activator","PLA2G1B","infectious disease","giardiasis","Launched"
"25","estradiol","HA1E","trt_cp","down",-0.300806731311367,0.000457096250104825,0.0113978921702753,-1.1848918920125,-92.681838464971,2241,0,100,100,"ATP6; BECN1; BPNT1; CHRNA4; CYP2A6; CYP2B6; CYP2C8; CYP2E1; CYP3A5; CYP3A7; ESR1; ESR2; ESRRA; ESRRB; ESRRG; GPER1; HSD17B1; HSD17B11; HSD17B12; HSD17B2; HSD17B6; HSD17B7; HSD17B8; KCNMA1; NCOA2; NR1I2; SHBG; SULT1A1; SULT1E1; UGT1A1; UGT1A10; UGT1A3; UGT1A4; UGT1A5; UGT1A6; UGT1A7; UGT1A8; UGT1A9; UGT2A2; UGT2A3; UGT2B10; UGT2B11; UGT2B15; UGT2B17; UGT2B4; UGT2B7","Contraceptive agent; Estrogen receptor agonist","5757","estrogen receptor agonist","ESR1, ESR2, GPER1, KCNMA1, NR1I2","endocrinology","contraceptive","Launched"
"26","tetrabenazine","HA1E","trt_cp","down",-0.300717723315745,0.000457096250104825,0.0113978921702753,-1.18454128532269,-89.3797411869701,2241,0,100,100,"SLC18A1; SLC18A2","Vesicular monoamine transporter inhibitor","6018","vesicular monoamine transporter inhibitor","SLC18A1, SLC18A2","infectious disease, neurology/psychiatry","cholera, Huntington's disease","Launched"
"27","MNITMT","HA1E","trt_cp","down",-0.297805143758253,0.000602317384640913,0.0138816939461173,-1.17306849717241,-90.0490852298081,2241,-1.01250926070396,100,100,NA,"Lymphocyte inhibitor","364622","lymphocyte inhibitor","","","","Preclinical"
"28","NAN-190","HA1E","trt_cp","down",-0.297443157118195,0.000660088153624029,0.0148120171816142,-1.17164261473636,-80.8121374386435,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D; HTR1F","Serotonin receptor agonist","4431","serotonin receptor agonist","ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1F","","","Preclinical"
"29","CITCO","HA1E","trt_cp","down",-0.296658082915407,0.000660088153624029,0.0148120171816142,-1.1685501704501,-85.4975457385096,2241,0,100,100,"NR1I3","CAR agonist","9600409","constitutive androstane receptor (CAR) agonist","NR1I3","","","Preclinical"
"30","diloxanide","HA1E","trt_cp","down",-0.296404565680489,0.000722254288081566,0.0158965124823163,-1.1675515541132,-93.9759036144578,2241,0,100,100,NA,"Protein synthesis inhibitor","11367","protein synthesis inhibitor","","infectious disease","amebiasis","Launched"
"31","RU-28318","HA1E","trt_cp","down",-0.295401296552569,0.000789512083534225,0.0169704477600088,-1.16359962973306,-90.8076751450245,2241,-0.0195205432767168,100,100,"NR3C2","Cytochrome P450 inhibitor","3034004","cytochrome P450 inhibitor","NR3C2","","","Phase 2"
"32","PCA-4248","HA1E","trt_cp","down",-0.292285879491191,0.00103167061009283,0.0206316164305597,-1.151327855095,-81.8830879071843,2241,-0.0245961807344069,100,100,"PTAFR","Platelet activating factor receptor antagonist","4698","platelet activating factor receptor antagonist","PTAFR","","","Phase 1"
"33","cabergoline","HA1E","trt_cp","down",-0.289385271261872,0.0013420878569151,0.0251845608625522,-1.13990222257061,-63.2753235162874,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; DRD1; DRD3; DRD4; HTR1B; HTR1D; HTR2B; HTR7; PRL","Dopamine receptor agonist","54746","dopamine receptor agonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR7","endocrinology","hyperprolactinemia","Launched"
"34","desipramine","HA1E","trt_cp","down",-0.287927660845562,0.00146546271948921,0.0268313963095005,-1.13416062644187,-79.161088799643,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; CHRM1; CHRM4; CHRM5; HRH1; SLC22A3; SLC6A2; SLC6A4; SMPD1; TH","Tricyclic antidepressant","2995","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1","neurology/psychiatry","depression","Launched"
"35","tetrahydrozoline","HA1E","trt_cp","down",-0.287499366525698,0.00159862923782317,0.0287203304352626,-1.13247355492991,-75.5466309683177,2241,-0.0226494710985981,100,100,NA,NA,"5419","adrenergic receptor agonist","","ophthalmology","eye irritation","Launched"
"36","ephedrine-(racemic)","HA1E","trt_cp","down",-0.28635817747346,0.00174604805509647,0.0304175073616427,-1.12797835746755,-87.9964301651049,2241,0,100,100,NA,NA,"NotFound","adrenergic receptor agonist","ADRA1A, ADRA2A, ADRB1, ADRB2, ATF1, ATF2, ATF3, ATF4, ATF5, ATF6, ATF7, FOS, IL2, JDP2, JUN, NFATC1, SLC6A2, SLC6A3, SLC6A4, TNF","cardiology, pulmonary, neurology/psychiatry, endocrinology","hypotension, asthma, narcolepsy, obesity","Launched"
"37","flavoxate","HA1E","trt_cp","down",-0.285967551965782,0.00174604805509647,0.0304175073616427,-1.12643966518216,-73.0031236055332,2241,0,100,100,"CHRM1","Acetylcholine receptor antagonist","3354","acetylcholine receptor antagonist","CHRM1, CHRM2","urology","urinary incontinence, interstitial cystitis (IC), urethritis, prostatitis","Launched"
"38","apigenin","HA1E","trt_cp","down",-0.280446809739286,0.00289317316621545,0.0448427204136921,-1.10469320135288,-79.4734493529674,2241,0,100,100,"AKR1B1; AR; CDK6; CFTR; CYP19A1; CYP1A2; CYP1B1; HSD17B1; MAOA; ODC1; TNKS2","Casein kinase inhibitor; Cell proliferation inhibitor; Cytochrome P450 inhibitor","5280443","casein kinase inhibitor, cell proliferation inhibitor","AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1B1, HSD17B1","","","Preclinical"
"39","zolantidine","HA1E","trt_cp","down",-0.278834191681682,0.00313813863409187,0.047564742436783,-1.09834102281939,-81.0798750557787,2241,0,100,100,NA,"Histamine receptor antagonist","23640915","histamine receptor antagonist","","","","Preclinical"
"40","DR-2313","HA1E","trt_cp","down",-0.278575799847314,0.00313813863409187,0.047564742436783,-1.0973232052055,-83.1771530566711,2241,0,100,100,"PARP1; PARP3","PARP inhibitor","135522417","PARP inhibitor","PARP1, PARP3","","","Preclinical"
"41","isoflupredone-acetate","HA1E","trt_cp","down",-0.278160300177837,0.00340555963251089,0.0505346782278561,-1.09568653242444,-75.5912539045069,2241,0,100,100,NA,NA,"224246","","NR3C1","","","Preclinical"
"42","KU-0063794","HA1E","trt_cp","down",-0.274142190581371,0.00468130358184425,0.064546650887259,-1.0798590093457,-79.8750557786702,2241,0,100,100,"MTOR","MTOR inhibitor","16736978","mTOR inhibitor","MTOR","","","Preclinical"
"43","CGP-53353","HA1E","trt_cp","down",-0.271734166500618,0.00547216473794983,0.0725768550352735,-1.07037368899859,-66.4435519857207,2241,0,100,100,"EGFR; PRKCB","EGFR inhibitor; PKC inhibitor","6711154","EGFR inhibitor, PKC inhibitor","EGFR, PRKCB","","","Preclinical"
"44","BML-190","HA1E","trt_cp","down",-0.271171668067387,0.00591107026757636,0.0767804254428319,-1.06815798115888,-81.7492190986167,2241,0,100,100,"CNR2","Cannabinoid receptor inverse agonist","2415","cannabinoid receptor inverse agonist","CNR2","","","Preclinical"
"45","etomidate","HA1E","trt_cp","down",-0.270935145985446,0.00591107026757636,0.0767804254428319,-1.06722630953054,-85.586791610888,2241,-0.0252470226541003,100,100,"ADRA2B; CYP11B1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ","GABA receptor modulator","667484","GABA receptor modulator","ADRA2B, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ","neurology/psychiatry","general anaesthetic","Launched"
"46","BMS-191011","HA1E","trt_cp","down",-0.269925599496311,0.00637667437857474,0.0812888898035453,-1.06324965832872,-84.1588576528335,2241,0,100,100,"KCNMA1","Potassium channel activator","10474339","potassium channel activator","KCNMA1","","","Preclinical"
"47","BMY-7378","HA1E","trt_cp","down",-0.269804679872142,0.00637667437857474,0.0812888898035453,-1.06277335023004,-76.6622043730477,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D","Adrenergic receptor antagonist; Serotonin receptor antagonist","2419","adrenergic receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA1D, HTR1A","","","Preclinical"
"48","bezafibrate","HA1E","trt_cp","down",-0.26863363190091,0.0068820108527231,0.0858961680466438,-1.05816053707848,-82.6416778224007,2241,-0.369820425388703,100,100,"APOA1; APOA2; APOB; APOE; CETP; CRAT; HBE1; HBG1; HBG2; HSD11B1; LPL; NR1I2; PPARA; PPARD; PPARG; RXRA; RXRB; RXRG; SERPINE1; UCP3","PPAR receptor agonist","39042","PPAR receptor agonist","PPARA, PPARD, PPARG","cardiology","cholesterol","Launched"
"49","mebeverine","HA1E","trt_cp","down",-0.26828233825261,0.007416722294151,0.0907945897043163,-1.05677677484094,-74.5203034359661,2241,0,100,100,"CHRM1; CHRM4; IL13","Acetylcholine receptor antagonist","4031","acetylcholine receptor antagonist","CHRM1","gastroenterology","irritable bowel syndrome","Launched"
"50","VER-155008","HA1E","trt_cp","down",-0.268260936009388,0.007416722294151,0.0907945897043163,-1.05669247039617,-76.8853190539938,2241,-0.923474775896256,100,100,"HSPA1A","HSP inhibitor","25195348","HSP inhibitor","HSPA1A","","","Preclinical"
"51","thioridazine","HA1E","trt_cp","down",-0.267881512249624,0.007416722294151,0.0907945897043163,-1.05519790232377,-70.8165997322624,2241,-0.56296288178205,100,100,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","Dopamine receptor antagonist","5452","dopamine receptor antagonist","DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7","","","Withdrawn"
"52","ramipril","HA1E","trt_cp","down",-0.266528452487705,0.00798516054986283,0.0957885769327842,-1.04986813615027,-87.7733154841589,2241,-0.86407430104543,100,100,"ACE; BDKRB1","ACE inhibitor","5362129","angiotensin converting enzyme inhibitor","ACE","cardiology","hypertension","Launched"
"53","isamoltane","HA1E","trt_cp","down",-0.263867052680829,0.00993996670575931,0.113097576115344,-1.03938475687606,-85.3190539937528,2241,-0.968176042460158,100,100,NA,NA,"127404","adrenergic receptor antagonist","HTR1A, HTR1B","","","Phase 1"
"54","ibuprofen-(S)","HA1E","trt_cp","down",-0.263835821560379,0.00993996670575931,0.113097576115344,-1.03926173602065,-69.9241410084784,2241,0,100,100,NA,NA,"39912","cyclooxygenase inhibitor","ASIC1, PTGS1, PTGS2, SLC5A8","neurology/psychiatry","pain relief","Launched"
"55","benzbromarone","HA1E","trt_cp","down",-0.262646566888914,0.0106730570928818,0.119166912478249,-1.03457720581877,-76.7960731816153,2241,-0.0175000524504674,100,100,"ABCC1; CYP2C9; SLC22A12","Chloride channel blocker","2333","chloride channel blocker","ABCC1","rheumatology","gout","Launched"
"56","nadolol","HA1E","trt_cp","down",-0.261376681812704,0.0122900293658284,0.132988130335769,-1.02957506865239,-73.6724676483713,2241,-0.979738521859979,100,100,"ADRB1; ADRB2; ADRB3","Adrenergic receptor antagonist","39147","adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3","cardiology","angina pectoris, hypertension","Launched"
"57","azacyclonol","HA1E","trt_cp","down",-0.259151841168522,0.0141064467869857,0.147839422700733,-1.02081131649559,-74.0740740740741,2241,0,100,100,"HRH1","Histamine receptor antagonist","15723","histamine receptor antagonist","HRH1","","","Preclinical"
"58","mephenytoin","HA1E","trt_cp","down",-0.257593005566418,0.0150961655919563,0.155971084969412,-1.01467098958914,-73.5385988398037,2241,0,100,100,"NR1I2; SCN5A","Hydantoin antiepileptic","4060","hydantoin antiepileptic","SCN5A","neurology/psychiatry","seizures","Launched"
"59","ingenol","NKDBA","trt_cp","down",-0.256736206571305,0.0161436769251451,0.164355076821437,-1.12195352022031,NA,229,1.33278511267767,100,100,"PRKCE","PKC activator","5225086","PKC activator","PRKCD, PRKCE","dermatology","keratosis","Launched"
"60","gavestinel","HA1E","trt_cp","down",-0.256580389105083,0.0161436769251451,0.164355076821437,-1.01068224562212,-70.3257474341812,2241,-1.0115660286068,100,100,"GLRB; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B","Glutamate receptor antagonist","6450546","glutamate receptor antagonist","GLRB, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B","","","Phase 3"
"61","fluoxetine","HA1E","trt_cp","down",-0.254933047680809,0.0184415609396317,0.183005911151309,-1.00419329011076,-70.95046854083,2241,0,100,100,"ANO1; CHRNA2; CHRNA3; CHRNB4; CKS1B; CYP2C9; HTR2B; KCNH2; SLC6A4","Selective serotonin reuptake inhibitor (SSRI)","3386","selective serotonin reuptake inhibitor (SSRI)","ANO1, HTR2B, SLC6A4","neurology/psychiatry","depression, obsessive compulsive disorder (OCD), bulimia nervosa, panic disorders, bipolar disorder","Launched"
"62","m-3M3FBS","HA1E","trt_cp","down",-0.254549588988488,0.0184415609396317,0.183005911151309,-1.00268282824885,-73.4047300312361,2241,-0.0190523083817489,100,100,"PLCB2; PLCB3; PLCD1; PLCG1; PLCG2",NA,"761523","phospholipase activator","PLCB2, PLCB3, PLCD1, PLCG1, PLCG2","","","Preclinical"
"63","L-152804","HA1E","trt_cp","down",-0.253364296434317,0.0210093900237998,0.202667407206915,-0.998013905013728,-74.3864346273985,2241,0.0299339696182194,100,100,"NPY5R","Neuropeptide receptor antagonist","3765615","neuropeptide receptor antagonist","NPY5R","","","Preclinical"
"64","thalidomide","HA1E","trt_cp","down",-0.252561234547719,0.0210093900237998,0.202667407206915,-0.994850606393161,-61.5350290049085,2241,0,100,100,"CRBN; CYP1A2; CYP2B6; CYP3A5; DDB1; FGF2; FGFR2; IL10; NFKB1; ORM1; ORM2; TNF; VEGFA","TNF production inhibitor","5426","tumor necrosis factor production inhibitor","TNF","oncology","myeloma","Launched"
"65","formestane","HA1E","trt_cp","down",-0.251684152740481,0.0223870759892107,0.212786031884213,-0.991395739816549,-50.0223114680946,2241,0,100,100,"CYP19A1","Aromatase inhibitor","44511091","aromatase inhibitor","CYP19A1","oncology","breast cancer","Launched"
"66","hexylresorcinol","HA1E","trt_cp","down",-0.249505805168436,0.0253670249846935,0.234277934123105,-0.982815126062164,-75.5020080321285,2241,0,100,100,"TGM2; TOP1; TYR","Local anesthetic","3610","local anesthetic","TYR","infectious disease","skin infections, first-aid antiseptic","Launched"
"67","trifluoperazine","HA1E","trt_cp","down",-0.248944377944799,0.0269838449429949,0.244686183543859,-0.980603637767531,-62.2936189201249,2241,-0.545339214769347,100,100,"ABCG2; ADCY10; ADRA1A; ANXA7; CALM1; CALM2; CALM3; CALY; CAMK2A; DHCR24; DRD4; EBP; EBPL; HRH1; MYLK3; S100A4; SCN4A; SCN9A; SEC23IP; TNNC1","Dopamine receptor antagonist","5566","dopamine receptor antagonist","ADRA1A, CALM1, CALY, DRD2, DRD4, HRH1, HTR2A, HTR2C, S100A4, TNNC1","neurology/psychiatry","schizophrenia","Launched"
"68","metergoline","HA1E","trt_cp","down",-0.248652102849555,0.0269838449429949,0.244686183543859,-0.979452352392094,-64.3908969210174,2241,0,100,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A","Dopamine receptor agonist; Serotonin receptor antagonist","28693","dopamine receptor agonist, serotonin receptor antagonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7","neurology/psychiatry, endocrinology","seasonal affective disorder, anxiety, hyperprolactinemia","Launched"
"69","cinanserin","HA1E","trt_cp","down",-0.247793619805376,0.0286771268531633,0.25709833040655,-0.97607074721975,-65.2833556448014,2241,0,100,100,NA,"Serotonin receptor antagonist","5475158","serotonin receptor antagonist","HTR2A","","","Preclinical"
"70","rosuvastatin","HA1E","trt_cp","down",-0.247510890405078,0.0286771268531633,0.25709833040655,-0.974957062786606,-51.227130745203,2241,0,100,100,"APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor","446157","HMGCR inhibitor","HMGCR","endocrinology, cardiology","hyperlipidemia, dyslipidemia, hypertriglyceridemia, hypercholesterolemia, atherosclerosis","Launched"
"71","SANT-1","HA1E","trt_cp","down",-0.24571894446923,0.0323253672338734,0.281513090126944,-0.967898503288771,-58.1436858545292,2241,-0.0267979834748509,100,100,"DHH; IHH; PTCH1; SMO","Smoothened receptor antagonist","6878030","smoothened receptor antagonist","SHH, SMO","","","Preclinical"
"72","purmorphamine","HA1E","trt_cp","down",-0.244910332810537,0.0342699465493095,0.293826429779864,-0.964713343854355,-60.0624721106649,2241,0,100,100,"DHH; IHH; PTCH1; SMO","Smoothened receptor agonist","5284329","smoothened receptor agonist","SMO","","","Preclinical"
"73","benzoxiquine","HA1E","trt_cp","down",-0.243324296205137,0.0384308997848403,0.314451408995329,-0.958465870913904,-63.9446675591254,2241,0,100,100,NA,"Anti-infective","6855","antiinfective drug","","","","Preclinical"
"74","XE-991","HA1E","trt_cp","down",-0.242222460413495,0.0406627445210355,0.314451408995329,-0.954125687799799,-52.9674252565819,2241,0,100,100,"KCNQ1; KCNQ2; KCNQ3; KCNQ4; KCNQ5","Potassium channel blocker","656732","potassium channel blocker","KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5","","","Preclinical"
"75","hyoscyamine","HA1E","trt_cp","down",-0.241906118119781,0.0406627445210355,0.314451408995329,-0.952879600595275,-46.1847389558233,2241,-0.22353187723257,100,100,"CHRM1; CHRM4","Acetylcholine receptor antagonist","154417","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4","gastroenterology, urology, neurology/psychiatry, allergy","peptic ulcer disease (PUD), acute abdominal visceral spasm, ulcerative colitis, interstitial cystitis (IC), enterocolitis, irritable bowel syndrome, tremors, allergic rhinitis","Launched"
"76","JTE-013","HA1E","trt_cp","down",-0.241816516177599,0.0406627445210355,0.314451408995329,-0.952526654321973,-69.0763052208835,2241,-0.745271107227543,100,100,"P2RY10; S1PR2","Lysophospholipid receptor antagonist","10223146","lysophospholipid receptor antagonist","P2RY10, S1PR2","","","Preclinical"
"77","6-benzylaminopurine","HA1E","trt_cp","down",-0.24121336017039,0.0429869136914285,0.314451408995329,-0.950150794382121,-62.8290941543954,2241,-0.0190030158876424,100,100,NA,"Purinergic receptor activator","62389","purinergic receptor activator","","","","Preclinical"
"78","sonidegib","HA1E","trt_cp","down",-0.240331554111737,0.0454072586806183,0.314451408995329,-0.946677318756524,-69.8795180722892,2241,-0.522047490915024,100,100,"SMO",NA,"24775005","smoothened receptor antagonist","SMO","oncology","basal cell carcinoma (BCC)","Launched"
"79","LFM-A13","HA1E","trt_cp","down",-0.239345205846248,0.0479388803977101,0.314451408995329,-0.942792046451004,-62.2489959839357,2241,0,100,100,"BTK","BTK inhibitor","9906875","Bruton's tyrosine kinase (BTK) inhibitor","BTK","","","Preclinical"
"80","meclizine","HA1E","trt_cp","down",-0.237531499642307,0.0505539052626407,0.314451408995329,-0.935647772231562,-63.186077643909,2241,0,100,100,"NR1I3",NA,"92303","constitutive androstane receptor (CAR) agonist","NR1I3","gastroenterology, neurology/psychiatry","nausea, vomiting, motion sickness","Launched"
