"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"18","mebendazole","HA1E","trt_cp","down",-0.295760374702035,0.000722254288081566,0.0123344177120314,-1.145364503028,-72.512271307452,2241,0,106,100,"TUBA1A; TUBB; TUBB4B","Tubulin inhibitor","4030","tubulin polymerization inhibitor","TUBA1A, TUBB, TUBB4B","infectious disease","pinworm, whipworm, hookworm, ascariasis","Launched"
"19","menadione","HA1E","trt_cp","down",-0.295033088001869,0.000789512083534225,0.0131937517494178,-1.14254800548084,-68.0946006247211,2241,-0.870077040274882,106,100,"AOX1; BGLAP; CDC25A; F10; F2; F7; F9; GGCX; NQO1; NQO2; PKM; PROC; PROS1; PROZ; RP11-196G11.1; VKORC1; VKORC1L1","Mitochondrial DNA polymerase inhibitor; Phosphatase inhibitor","4055","mitochondrial DNA polymerase inhibitor, phosphatase inhibitor","AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PROC, PROS1, PROZ, VKORC1, VKORC1L1","gastroenterology, neurology/psychiatry, dermatology, rheumatology","ulcerative colitis, diarrhea, headache, varicose veins, rheumatoid arthritis","Launched"
"20","carbamazepine","HA1E","trt_cp","down",-0.2948998924657,0.000789512083534225,0.0131937517494178,-1.14203219115229,-82.6416778224007,2241,0,106,100,"ABCB1; CHRNA4; CHRNB2; CYP1A2; CYP2B6; CYP3A4; EPHX1; HDAC3; IMPA1; NR1I2; SCN10A; SCN11A; SCN1A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SHBG","Carboxamide antiepileptic","2554","carboxamide antiepileptic","SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","neurology/psychiatry","seizures","Launched"
"21","sulconazole","HA1E","trt_cp","down",-0.28922879650295,0.0013420878569151,0.0201492942020223,-1.12007024978153,-85.586791610888,2241,-1.12357349046398,106,100,NA,"Sterol demethylase inhibitor","65495","sterol demethylase inhibitor","","infectious disease","tinea pedis, tinea cruris, tinea corporis","Launched"
"22","clebopride","HA1E","trt_cp","down",-0.275751252253934,0.00400060943265449,0.0486380971129815,-1.06787698086793,-64.8817492190986,2241,0,106,100,"ACHE","Dopamine receptor antagonist","2780","dopamine receptor antagonist","ACHE, DRD2","gastroenterology","nausea","Launched"
"23","nicardipine","HA1E","trt_cp","down",-0.274739345904629,0.00432997897318083,0.0517390831231145,-1.06395826249989,-85.0513163766176,2241,0,106,100,"ADORA3; ADRA1A; ADRA1B; ADRA1D; CACNA1C; CACNA1D; CACNA2D1; CACNB2; CALM1; CALM2; CALM3; CHRM1; CHRM4; CHRM5; PDE1A; PDE1B","Calcium channel blocker","4474","calcium channel blocker","ADORA3","cardiology","chronic stable angina, hypertension","Launched"
"24","butoconazole","HA1E","trt_cp","down",-0.27348460057807,0.00506602861626627,0.0585254929836935,-1.05909912354718,-76.5283355644801,2241,-0.973635143419026,106,100,"CYP51A1","Bacterial cell wall synthesis inhibitor","47472","bacterial cell wall synthesis inhibitor","","infectious disease","vulvovaginal candidiasis","Launched"
"25","triflupromazine","HA1E","trt_cp","down",-0.269278865607088,0.0068820108527231,0.0742417114431321,-1.04281195340224,-61.5796519410977,2241,0,106,100,"CHRM1; CHRNA7; DRD1; HTR2B","Dopamine receptor antagonist","5568","dopamine receptor antagonist","CHRM1, CHRM2, DRD1, DRD2, HTR2B","neurology/psychiatry, gastroenterology","psychosis, nausea, vomiting","Launched"
"26","resorcinol","HA1E","trt_cp","down",-0.268979008067652,0.0068820108527231,0.0742417114431321,-1.04165072217922,-78.2240071396698,2241,0,106,100,"CA12; CA14; INS-IGF2; PNMT; TPO","Phosphodiesterase inhibitor","5054","phosphodiesterase inhibitor","CA12, CA14, CA2, PTGS1","dermatology","acne vulgaris (AV), eczema, psoriasis, seborrheic dermatitis","Launched"
"27","albendazole","HA1E","trt_cp","down",-0.26758658726178,0.007416722294151,0.0786984275571469,-1.03625841982658,-74.6987951807229,2241,0.0421936702017483,106,100,"CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B","Anthelmintic; Tubulin inhibitor","2082","tubulin polymerization inhibitor","TUBA1A, TUBB, TUBB4B","infectious disease","cystic hydatid disease, parenchymal neurocysticercosis","Launched"
"28","riboflavin","HA1E","trt_cp","down",-0.267421709742375,0.00798516054986283,0.0833256217596495,-1.03561991354167,-76.3944667559125,2241,-0.0222086279812552,106,100,"ACP1; ACP5; ACP6; ACPP; ACPT; BLVRB; ENPP1; FLAD1; RFK; SLC52A3","Vitamin B","493570","vitamin B","BLVRB, RFK","gastroenterology","jaundice","Launched"
"29","promazine","HA1E","trt_cp","down",-0.266841570752402,0.00798516054986283,0.0833256217596495,-1.03337326164786,-68.3177153056671,2241,-0.325205599003471,106,100,"ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1; PRNP","Dopamine receptor antagonist","4926","dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, HRH1, HTR2A, HTR2C","neurology/psychiatry","schizophrenia","Launched"
"30","imipramine","HA1E","trt_cp","down",-0.265265636462376,0.00925109108420132,0.0936026292086208,-1.02727028319202,-76.1267291387773,2241,0,106,100,"ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM4; CHRM5; DRD1; FMO1; HRH1; HTR6; HTR7; KCND2; KCND3; KCNH1; KCNH2; ORM2; SLC22A3; SLC6A2; SLC6A3; SLC6A4","Norepinephrine reuptake inhibitor; Serotonin reuptake inhibitor","3696","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A2, SLC6A3, SLC6A4","neurology/psychiatry, urology","depression, nocturnal enuresis","Launched"
"31","clomipramine","HA1E","trt_cp","down",-0.263264382240448,0.0106730570928818,0.104359789736271,-1.01952020663209,-68.7193217313699,2241,0,106,100,"HTR2B; SLC6A2; SLC6A3; SLC6A4","Serotonin transporter inhibitor (SERT)","2801","serotonin transporter (SERT) inhibitor","GSTP1, HTR2A, HTR2B, HTR2C, SLC6A2, SLC6A3, SLC6A4","neurology/psychiatry","obsessive compulsive disorder (OCD)","Launched"
"32","brompheniramine","HA1E","trt_cp","down",-0.261192979066659,0.0122900293658284,0.115975480397538,-1.01149847055907,-77.7777777777778,2241,-0.0242331589077966,106,100,"CHRM1; CHRM4; CHRM5; HRH1","Histamine receptor antagonist","6834","histamine receptor antagonist","HRH1","allergy, otolaryngology","allergic rhinitis, common cold","Launched"
"33","pimozide","HA1E","trt_cp","down",-0.256748456271158,0.0161436769251451,0.143667470327646,-0.994286568362932,-57.1173583221776,2241,-0.983482017370557,106,100,"CACNA1I; CALM1; CALM2; CALM3; DRD3; HRH1; KCNA10; KCNH2","Dopamine receptor antagonist","16362","dopamine receptor antagonist","CACNA1I, CALM1, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, KCNA10, KCNH2","neurology/psychiatry","Tourette's disorder","Launched"
"34","cetirizine","HA1E","trt_cp","down",-0.256099170305772,0.0172592511454823,0.150906800921192,-0.991772137219759,-57.7420794288264,2241,0,106,100,"HRH1; IL8","Histamine receptor antagonist","2678","histamine receptor antagonist","HRH1","allergy","allergic rhinitis","Launched"
"35","desipramine","HA1E","trt_cp","down",-0.255750482479917,0.0172592511454823,0.150906800921192,-0.990421805354733,-64.9263721552878,2241,-0.710037185941116,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; CHRM1; CHRM4; CHRM5; HRH1; SLC22A3; SLC6A2; SLC6A4; SMPD1; TH","Tricyclic antidepressant","2995","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1","neurology/psychiatry","depression","Launched"
"36","papaverine","HA1E","trt_cp","down",-0.254171709862966,0.019688430384091,0.166660804334368,-0.984307835166434,-70.4596162427488,2241,-0.0292727541952553,106,100,"PDE10A; PDE4B; PDE5A","Phosphodiesterase inhibitor","6084","phosphodiesterase inhibitor","PDE10A, PDE4B, PDE5A","cardiology, hematology, gastroenterology","myocardial infarction, angina pectoris, pulmonary embolism (PE), colitis, vascular spasm","Launched"
"37","niclosamide","NKDBA","trt_cp","down",-0.253108307343512,0.0210093900237998,0.175387380187783,-0.856175632188984,NA,229,-1.10225499687337,106,100,"STAT3","DNA replication inhibitor; STAT inhibitor","4477","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"38","oxibendazole","HA1E","trt_cp","down",-0.252729756025317,0.0210093900237998,0.175387380187783,-0.978723710713278,-59.2146363230701,2241,0,106,100,"TUBB; TUBB4B","Tubulin inhibitor","4622","tubulin polymerization inhibitor","TUBB, TUBB4B","infectious disease","strongyles","Launched"
"39","clemastine","HA1E","trt_cp","down",-0.248777195234736,0.0269838449429949,0.212741392726072,-0.963416985361197,-62.2043730477465,2241,-0.0217366480035172,106,100,"HRH1","Histamine receptor antagonist","26987","histamine receptor antagonist","HRH1","allergy","allergic rhinitis, urticaria","Launched"
"40","methylergometrine","HA1E","trt_cp","down",-0.241699467790474,0.0406627445210355,0.29225791166855,-0.936007709237134,-62.0258813029897,2241,0,106,100,"DRD1; HTR1E; HTR1F; HTR2B","Dopamine receptor antagonist; Serotonin receptor antagonist","4140","dopamine receptor antagonist, serotonin receptor antagonist","DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C","hematology, neurology/psychiatry","postpartum hemorrhage (PPH), migraine headache","Launched"
"41","hexylresorcinol","HA1E","trt_cp","down",-0.235213725994266,0.0589969453950692,0.314451408995329,-0.910890962490158,-65.9526996876394,2241,-0.0182178192498032,106,100,"TGM2; TOP1; TYR","Local anesthetic","3610","local anesthetic","TYR","infectious disease","skin infections, first-aid antiseptic","Launched"
"42","rizatriptan","HA1E","trt_cp","down",-0.23419263240013,0.0620255045215908,0.314451408995329,-0.906936665508454,-52.1195894689871,2241,0,106,100,"HTR1B; HTR1D; HTR1E; HTR1F","Serotonin receptor agonist","5078","serotonin receptor agonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F","neurology/psychiatry","migraine headache","Launched"
"43","rimexolone","HA1E","trt_cp","down",-0.231697737891577,0.0684082279675016,0.314451408995329,-0.89727491277442,-46.7202141900937,2241,-0.0233013231697485,106,100,"NR3C1; SERPINA6","Glucocorticoid receptor agonist","73707479","glucocorticoid receptor agonist","NR3C1, SERPINA6","ophthalmology","anterior uveitis","Launched"
"44","fenbendazole","HA1E","trt_cp","down",-0.228166116721999,0.0823824874017293,0.314451408995329,-0.883598322291829,-28.6479250334672,2241,0.946706626225534,106,100,"CYP2D6; CYP2J2; CYP3A4; TUBB","Tubulin inhibitor","3334","tubulin polymerization inhibitor","TUBB","infectious disease","gastrointestinal parasites, gastrointestinal roundworms","Launched"
"45","methotrexate","HA1E","trt_cp","down",-0.227130316342148,0.0861386100696779,0.314451408995329,-0.879587071668757,-49.0852298081214,2241,-1.13083688523989,106,100,"ABCB1; ABCC2; ABCC3; ABCC4; ABCG2; AOX1; CRP; DHFR; FOLR1; FOLR2; FPGS; GGH; PDF; SLC19A1; SLC22A6; TYMS","Dihydrofolate reductase inhibitor","4112","dihydrofolate reductase inhibitor","DHFR","oncology, hematologic malignancy, dermatology, rheumatology","gestational choriocarcinoma, hydatidiform mole, acute lymphoblastic leukemia (ALL), psoriasis, rheumatoid arthritis","Launched"
"46","metixene","HA1E","trt_cp","down",-0.226920624905467,0.0861386100696779,0.314451408995329,-0.878775018572037,-61.7135207496653,2241,-0.0175755003714408,106,100,"CHRM1; CHRM4; CHRM5","Acetylcholine receptor antagonist","4167","acetylcholine receptor antagonist","CHRM5","neurology/psychiatry","Parkinson's Disease","Launched"
"47","exemestane","HA1E","trt_cp","down",-0.223967011654745,0.0979692802249592,0.314451408995329,-0.867336827176526,-52.2980812137439,2241,-0.0260201048152956,106,100,"CYP19A1","Aromatase inhibitor","60198","aromatase inhibitor","CYP19A1","oncology","breast cancer","Launched"
"48","chlorprothixene","HA1E","trt_cp","down",-0.222485187592506,0.106317232500342,0.314451408995329,-0.861598300903928,-35.5198572066042,2241,-0.766233503356429,106,100,"CHRM1; CHRM4; CHRM5; DRD1; DRD3; HRH1; HTR2B","Dopamine receptor antagonist","667467","dopamine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C","neurology/psychiatry","schizophrenia, bipolar disorder","Launched"
"49","lovastatin","HA1E","trt_cp","down",-0.222302788212997,0.106317232500342,0.314451408995329,-0.860891939293201,-35.921463632307,2241,0,106,100,"APOA1; APOB; CYP2C9; CYP3A5; HDAC2; HMGCR; ITGAL; LDLR; LMNA; NR1I2; RAF1; RASD1; RHOA; RHOB","HMGCR inhibitor","3565209","HMGCR inhibitor","HDAC2, HMGCR, ITGAL, NR1I2","cardiology, endocrinology","coronary heart disease, myocardial infarction, hypercholesterolemia","Launched"
"50","toltrazuril","HA1E","trt_cp","down",-0.222009404986158,0.106317232500342,0.314451408995329,-0.859755780556101,-50.8701472556894,2241,0,106,100,NA,"Antiprotozoal","68591","antiprotozoal agent","","infectious disease","coccidiosis","Launched"
"51","nicotine","HA1E","trt_cp","down",-0.221692966337782,0.106317232500342,0.314451408995329,-0.85853033716937,-55.5555555555556,2241,-0.0171706067433874,106,100,"AOX1; CHAT; CHRNA1; CHRNA10; CHRNA2; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNA9; CHRNB2; CHRNB3; CHRNB4; CHRND; CHRNE; CYP19A1; CYP2A6; CYP2B6; CYP2E1; CYP2U1; FMO1; FMO2; FMO3; FMO4; FMO5; FMO6P; FOS; INMT; PNMT; TBXAS1; TH; TRPA1; UGT1A4; UGT2B10; UGT2B11","Acetylcholine receptor agonist","89594","acetylcholine receptor agonist","CHAT, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB2, CHRNB3, CHRNB4, CYP19A1, TBXAS1, TRPA1","neurology/psychiatry","smoking cessation","Launched"
"52","piperacetazine","HA1E","trt_cp","down",-0.220680118442835,0.110622188353248,0.314451408995329,-0.854607972562523,-41.4100847835788,2241,0,106,100,NA,"Dopamine receptor antagonist","19675","dopamine receptor antagonist","","neurology/psychiatry","schizophrenia","Launched"
"53","thiostrepton","NKDBA","trt_cp","down",-0.22019085471871,0.115029325573816,0.314451408995329,-0.744827565004287,NA,229,0,106,100,"FOXM1","FOXM1 inhibitor; Protein synthesis inhibitor","16129995","FOXM1 inhibitor, protein synthesis inhibitor","FOXM1","obstetrics/gynecology","mastitis","Launched"
"54","dilazep","HA1E","trt_cp","down",-0.218964341008192,0.119505026143938,0.314451408995329,-0.847963436185001,-45.6046407853637,2241,-0.937586298829743,106,100,"CACNA1C; SLC29A1","Adenosine reuptake inhibitor","3074","adenosine reuptake inhibitor","SLC29A1","cardiology","coronary heart disease","Launched"
"55","ozagrel","HA1E","trt_cp","down",-0.218358180004995,0.124057253943633,0.314451408995329,-0.845616011189748,-41.231593038822,2241,0,106,100,"TBXAS1","Thromboxane synthase inhibitor","5282440","thromboxane synthase inhibitor","TBXAS1","neurology/psychiatry","stroke","Launched"
"56","tolmetin","HA1E","trt_cp","down",-0.218271718951261,0.124057253943633,0.314451408995329,-0.845281181272315,-57.6082106202588,2241,-0.0253584354381693,106,100,NA,"Cyclooxygenase inhibitor","5509","cyclooxygenase inhibitor","PTGS1, PTGS2","rheumatology","rheumatoid arthritis, osteoarthritis","Launched"
"57","carvedilol","HA1E","trt_cp","down",-0.214917618303102,0.138118354484833,0.314451408995329,-0.832292058487172,-42.1686746987952,2241,0,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CYP2E1; GJA1; HIF1A; KCNH2; KCNJ4; NDUFC2; NPPB; RYR2; SELE; VCAM1; VEGFA","Adrenergic receptor antagonist","2585","adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3","cardiology","myocardial infarction, hypertension","Launched"
"58","nitrendipine","HA1E","trt_cp","down",-0.212641812894336,0.147753561344876,0.314451408995329,-0.823478752331385,-47.0771976796073,2241,0,106,100,"CACNA1C; CACNA1D; CACNA1H; CACNA1S; CACNA2D1; CACNA2D2; CACNB2; CACNG1; KCNN4","Calcium channel blocker","4507","calcium channel blocker","CACNA1D, CACNA2D1, KCNN4","cardiology","hypertension","Launched"
"59","rosuvastatin","HA1E","trt_cp","down",-0.211807914666391,0.152643166083584,0.314451408995329,-0.820249389945063,-34.9397590361446,2241,0,106,100,"APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor","446157","HMGCR inhibitor","HMGCR","endocrinology, cardiology","hyperlipidemia, dyslipidemia, hypertriglyceridemia, hypercholesterolemia, atherosclerosis","Launched"
"60","metergoline","HA1E","trt_cp","down",-0.209180439916752,0.167478438447628,0.314451408995329,-0.810074205680198,-42.4364123159304,2241,0,106,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A","Dopamine receptor agonist; Serotonin receptor antagonist","28693","dopamine receptor agonist, serotonin receptor antagonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7","neurology/psychiatry, endocrinology","seasonal affective disorder, anxiety, hyperprolactinemia","Launched"
"61","nadolol","HA1E","trt_cp","down",-0.208868354893276,0.167478438447628,0.314451408995329,-0.808865622183589,-42.3917893797412,2241,-0.0221363331446539,106,100,"ADRB1; ADRB2; ADRB3","Adrenergic receptor antagonist","39147","adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3","cardiology","angina pectoris, hypertension","Launched"
"62","escitalopram","HA1E","trt_cp","down",-0.208534785670646,0.167478438447628,0.314451408995329,-0.807573838768426,-36.6354306113342,2241,0,106,100,"ADRA1A; CHRM1; HRH1; SLC6A2; SLC6A3; SLC6A4","Selective serotonin reuptake inhibitor (SSRI)","146570","selective serotonin reuptake inhibitor (SSRI)","SLC6A4","neurology/psychiatry","depression, generalized anxiety disorder (GAD)","Launched"
"63","pirfenidone","HA1E","trt_cp","down",-0.20830470342026,0.172464501875189,0.314451408995329,-0.806682820008272,-42.6149040606872,2241,0.75607563390963,106,100,"FURIN; MAPK14; TNF; TNFRSF1A","TGF beta receptor inhibitor","40632","TGF beta receptor inhibitor","FURIN, TNF","pulmonary","idiopathic pulmonary fibrosis (IPF)","Launched"
"64","erythromycin-ethylsuccinate","HA1E","trt_cp","down",-0.207572277265287,0.172464501875189,0.314451408995329,-0.803846419358456,-44.578313253012,2241,-0.690030465417548,106,100,NA,NA,"443953","cytochrome P450 inhibitor, protein synthesis inhibitor","ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1","infectious disease","listeria, respiratory tract infections, skin infections, syphilis, amebiasis, pelvic inflammatory disease, chlamydia, diphtheria, erythrasma","Launched"
"65","scopolamine","HA1E","trt_cp","down",-0.207014892366766,0.177460030569984,0.314451408995329,-0.801687885180463,-49.7991967871486,2241,0,106,100,"CHRM1; CHRM4; CHRM5; CHRNA4; CHRNB2; RELA; SI","Acetylcholine receptor antagonist","2837667","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, SI","neurology/psychiatry, gastroenterology","motion sickness, vomiting, nausea","Launched"
"66","sildenafil","HA1E","trt_cp","down",-0.205392155061215,0.187423279657217,0.314451408995329,-0.795403656911584,-43.8197233377956,2241,0,106,100,"C1S; PDE11A; PDE5A; PDE6C; PDE6G; PDE6H; SLCO1B1; SLCO1B3","Phosphodiesterase inhibitor","5212","phosphodiesterase inhibitor","PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3","urology","erectile dysfunction","Launched"
