"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOA","Target","Disease.Area","Indication","Phase"
"11","RS-17053","3894573","HA1E","trt_cp","down",-0.370689149108775,2.73731176575365e-05,0.00126836081040662,-1.43553440339864,-93.4850513163766,2241,-1.17332805927695,106,100,"ADRA1A; ADRA1D","adrenergic receptor antagonist","ADRA1A, ADRA1D","","","Preclinical"
"12","IKK-2-inhibitor-V","5081913","HA1E","trt_cp","down",-0.366510935946368,2.75471915377116e-05,0.00126836081040662,-1.4193538144772,-89.1120035698349,2241,-1.13992910290575,106,100,"IKBKB","IKK inhibitor, NFkB pathway inhibitor","IKBKB","","","Phase 1"
"13","irinotecan","60838","HA1E","trt_cp","down",-0.363907050135885,2.77212654178868e-05,0.00126836081040662,-1.40926998096748,-96.7425256581883,2241,-1.18596456679013,106,100,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","topoisomerase inhibitor","TOP1, TOP1MT","oncology","colorectal cancer","Launched"
"14","PD-198306","9956637","HA1E","trt_cp","down",-0.363090748634593,2.77647838879305e-05,0.00126836081040662,-1.40610876383591,-92.235609103079,2241,-1.16699880766382,106,100,"MAP2K1; MAP2K2; MAPK3","MAP kinase inhibitor, MEK inhibitor","MAP2K1, MAP2K2","","","Preclinical"
"15","methylene-blue","4139","HA1E","trt_cp","down",-0.360473142753614,2.78953392980619e-05,0.00126836081040662,-1.39597179784779,-93.4850513163766,2241,-1.25619121359377,106,100,"ACHE; MAPT","guanylyl cyclase inhibitor, nitric oxide production inhibitor","ACHE","hematology","methemoglobinemia","Launched"
"16","perhexiline","5284439","HA1E","trt_cp","down",-0.358033012116767,2.79823762381494e-05,0.00126836081040662,-1.38652212421584,-90.9415439535921,2241,-1.37233221315809,106,100,"CPT1A; CPT2; KCNH2","carnitine palmitoyltransferase inhibitor","CPT1A","cardiology","angina pectoris","Launched"
"17","ixazomib","25183872","NKDBA","trt_cp","down",-0.357573571834736,2.79823762381494e-05,0.00126836081040662,-1.20954457059438,NA,229,-1.14828307344731,106,100,"PSMB5","proteasome inhibitor","","hematologic malignancy","multiple myeloma","Launched"
"18","geldanamycin","3460","NKDBA","trt_cp","down",-0.348806631996422,2.9440244984616e-05,0.00126836081040662,-1.1798891225484,NA,229,0,106,100,"HSP90AA1; HSP90AB1; HSP90B1","HSP inhibitor","HSP90AA1","","","Preclinical"
"19","wortmannin","312145","NKDBA","trt_cp","down",-0.347584060475119,2.97013558048787e-05,0.00126836081040662,-1.17575359670915,NA,229,-1.06703853373997,106,100,"ATM; ATR; MTOR; MYLK; PI4KA; PI4KB; PIK3C2B; PIK3C3; PIK3CA; PIK3CD; PIK3CG; PIK3R1; PIK3R4; PLK1; PLK2; PLK3; PRKDC","PI3K inhibitor","PI4KA, PI4KB, PIK3CA, PIK3CD, PIK3CG, PIK3R1, PLK1, PRKDC","","","Preclinical"
"20","niclosamide","4477","HA1E","trt_cp","down",-0.345488092182267,3.03976513255791e-05,0.00126836081040662,-1.33794054529142,-85.9437751004016,2241,-1.10225499687337,106,100,"STAT3","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"21","MG-132","462382","NKDBA","trt_cp","down",-0.340102089640136,3.3356907288556e-05,0.00127959101114598,-1.1504447430532,NA,229,-1.17309059141167,106,100,"PSMB1","proteasome inhibitor","PSMB1","","","Preclinical"
"22","trichostatin-a","444732","NKDBA","trt_cp","down",-0.339687261825291,3.3356907288556e-05,0.00127959101114598,-1.14904152768524,NA,229,-0.991242491883706,106,100,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9","","","Phase 1"
"23","vorinostat","5311","NKDBA","trt_cp","down",-0.338890558648499,3.43795913345848e-05,0.00128975387703851,-1.14634656341,NA,229,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"24","aminopurvalanol-a","6604931","HA1E","trt_cp","down",-0.33724306206173,3.62291263114454e-05,0.00131929138571219,-1.30601076147242,-90.5845604640785,2241,-1.30981386589828,106,100,"CDK1; CDK2; CDK5; CDK6","CDK inhibitor, tyrosine kinase inhibitor","CDK1, CDK2, CDK5","","","Preclinical"
"25","CMPD-1","11382492","HA1E","trt_cp","down",-0.334443619061857,4.07115287259546e-05,0.0013920677188467,-1.2951696112895,-88.3087907184293,2241,-0.0259033922257899,106,100,"GNRHR; MAPK14","p38 MAPK inhibitor","GNRHR, MAPK14","","","Preclinical"
"26","PCI-24781","11749858","HA1E","trt_cp","down",-0.332840309501768,4.20388420622898e-05,0.0014101730115435,-1.2889606190966,-85.4082998661312,2241,-1.22540409236734,106,100,NA,"HDAC inhibitor","HDAC1, HDAC2, HDAC3, HDAC6","","","Phase 3"
"27","lylamine","62034","HA1E","trt_cp","down",-0.331497046700371,4.57814304860547e-05,0.00146820057181935,-1.2837586865101,-80.4551539491299,2241,-0.850420787921296,106,100,"CNR1","cannabinoid receptor agonist","CNR1","","","Preclinical"
"28","H-89","449241","HA1E","trt_cp","down",-0.328828332380763,5.02638329005639e-05,0.00156287192474852,-1.27342379748556,-83.8464970995091,2241,-0.963426017052849,106,100,"GSG2; KCNA2; KCNA3; KCNA5; KCNAB2; KCNC1; KCNC2; KCNC3; KCNE1; KCNE2; KCNE3; KCNE4; KCNH1; KCNH2; KCNQ1; KCNQ2; KCNQ3; KCNQ5; KCNS3; PKIA; PRKACA","PKA inhibitor","GSG2, PKIA, PRKACA","","","Preclinical"
"29","NSC-3852","19103","HA1E","trt_cp","down",-0.327468231707979,5.60082709463426e-05,0.00166596511301626,-1.2681566583946,-86.1222668451584,2241,-1.06601416856119,106,100,"HDAC1","HDAC inhibitor","HDAC1","","","Preclinical"
"30","BAY-11-7082","5353431","HA1E","trt_cp","down",-0.327242427031054,5.60082709463426e-05,0.00166596511301626,-1.26728220500703,-82.5524319500223,2241,0,106,100,NA,"NFkB pathway inhibitor","RELA","","","Preclinical"
"31","trichostatin-a","444732","HA1E","trt_cp","down",-0.326138388096503,5.94027116097573e-05,0.00172779178147975,-1.26300669309348,-82.6863007585899,2241,-0.991242491883706,106,100,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9","","","Phase 1"
"32","CGK-733","6605258","HA1E","trt_cp","down",-0.321895132877583,7.74193582078816e-05,0.00208796010903838,-1.24657422167151,-80.5890227576974,2241,-1.32368326992154,106,100,"ATM; ATR","ATM kinase inhibitor, ATR kinase inhibitor","ATM, ATR","","","Preclinical"
"33","SR-27897","122077","HA1E","trt_cp","down",-0.318778320554627,9.60452633866187e-05,0.00245897277113952,-1.23450402396193,-90.9861668897813,2241,0,106,100,"CCKAR","CCK receptor antagonist","CCKAR","","","Phase 2"
"34","scriptaid","5186","HA1E","trt_cp","down",-0.315567076066615,0.000121808197652535,0.00298073350975501,-1.2220681273317,-83.3556448014279,2241,-1.24350934210678,106,100,"HDAC1; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9","","","Preclinical"
"35","alprenolol","2119","HA1E","trt_cp","down",-0.315114509794686,0.000131708649587495,0.00316073248064904,-1.2203155147863,-89.1566265060241,2241,0,106,100,"ADCY10; ADRB1; ADRB2; ADRB3","adrenergic receptor antagonist","ADRB1, ADRB2","cardiology","angina pectoris","Launched"
"36","AM-404","6604822","HA1E","trt_cp","down",-0.314364063202178,0.000142914655623768,0.00336292161487244,-1.21740932801485,-89.3351182507809,2241,0,106,100,"CNR1; CNR2; FAAH; TRPV1","cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1","","","Preclinical"
"37","thiothixene","6444849","HA1E","trt_cp","down",-0.31194095044469,0.000167807220488809,0.00380639122644803,-1.208025557988,-81.3922356091031,2241,0,106,100,"DRD1; HRH1","dopamine receptor antagonist","DRD1, DRD2, HRH1, HTR2A","neurology/psychiatry","schizophrenia","Launched"
"38","vorinostat","5311","HA1E","trt_cp","down",-0.309543527030388,0.000200206721436402,0.00434200098647064,-1.19874127276136,-81.5261044176707,2241,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"39","forskolin","3413","NKDBA","trt_cp","down",-0.306197091017825,0.000288462178685184,0.00582962527865274,-1.03575615801824,NA,229,-0.326924305053482,106,100,"ADCY1; ADCY2; ADCY4; ADCY5; ADCY6; ADCY7; GNAL; GNAS","adenylyl cyclase activator","ADCY2, ADCY5, GNAS","","","Launched"
"40","estradiol-cypionate","9403","HA1E","trt_cp","down",-0.301679089983559,0.000416711109904199,0.0078452993718793,-1.16828537738048,-88.7996430165105,2241,-0.0225235323306348,106,100,"ESR1","estrogen receptor agonist","ESR1","endocrinology","hypoestrogenism, menopause","Launched"
"41","DR-2313","135522417","HA1E","trt_cp","down",-0.301624802075038,0.000416711109904199,0.0078452993718793,-1.16807514149805,-88.9335118250781,2241,-0.754627219030778,106,100,"PARP1; PARP3","PARP inhibitor","PARP1, PARP3","","","Preclinical"
"42","SB-225002","3854666","HA1E","trt_cp","down",-0.299542239617864,0.000502137866600136,0.00910664869671501,-1.16001018987568,-81.5261044176707,2241,0,106,100,"CXCR2","CC chemokine receptor antagonist","CXCR2","","","Preclinical"
"43","vinpocetine","5673","HA1E","trt_cp","down",-0.299334505929962,0.000548572074136847,0.0098017800307282,-1.15920571837592,-89.6028558679161,2241,0,106,100,"PDE1A; PDE1C; SCN10A","phosphodiesterase inhibitor, sodium channel blocker","PDE1A, PDE1C","neurology/psychiatry","stroke, senile dementia","Launched"
"44","nortriptyline","441358","HA1E","trt_cp","down",-0.295985397913922,0.000722254288081566,0.0123344177120314,-1.14623593010647,-73.7170905845605,2241,-1.14763440930313,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, KCNJ10, PGRMC1, SIGMAR1, SLC6A2, SLC6A4","neurology/psychiatry","depression","Launched"
"45","mebendazole","4030","HA1E","trt_cp","down",-0.295760374702035,0.000722254288081566,0.0123344177120314,-1.145364503028,-72.512271307452,2241,0,106,100,"TUBA1A; TUBB; TUBB4B","tubulin polymerization inhibitor","TUBA1A, TUBB, TUBB4B","infectious disease","pinworm, whipworm, hookworm, ascariasis","Launched"
"46","menadione","4055","HA1E","trt_cp","down",-0.295033088001869,0.000789512083534225,0.0131937517494178,-1.14254800548084,-68.0946006247211,2241,-0.870077040274882,106,100,"AOX1; BGLAP; CDC25A; F10; F2; F7; F9; GGCX; NQO1; NQO2; PKM; PROC; PROS1; PROZ; RP11-196G11.1; VKORC1; VKORC1L1","mitochondrial DNA polymerase inhibitor, phosphatase inhibitor","AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PROC, PROS1, PROZ, VKORC1, VKORC1L1","gastroenterology, neurology/psychiatry, dermatology, rheumatology","ulcerative colitis, diarrhea, headache, varicose veins, rheumatoid arthritis","Launched"
"47","carbamazepine","2554","HA1E","trt_cp","down",-0.2948998924657,0.000789512083534225,0.0131937517494178,-1.14203219115229,-82.6416778224007,2241,0,106,100,"ABCB1; CHRNA4; CHRNB2; CYP1A2; CYP2B6; CYP3A4; EPHX1; HDAC3; IMPA1; NR1I2; SCN10A; SCN11A; SCN1A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SHBG","carboxamide antiepileptic","SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","neurology/psychiatry","seizures","Launched"
"48","sulconazole","65495","HA1E","trt_cp","down",-0.28922879650295,0.0013420878569151,0.0201492942020223,-1.12007024978153,-85.586791610888,2241,-1.12357349046398,106,100,NA,"sterol demethylase inhibitor","","infectious disease","tinea pedis, tinea cruris, tinea corporis","Launched"
"49","tetrindole","160019","HA1E","trt_cp","down",-0.288908945952663,0.0013420878569151,0.0201492942020223,-1.11883159343028,-71.173583221776,2241,-1.11980282657101,106,100,"MAOA","monoamine oxidase inhibitor","MAOA","","","Phase 3"
"50","AMG-9810","680502","HA1E","trt_cp","down",-0.285578638472185,0.00174604805509647,0.0249119479726835,-1.10593461229766,-76.3498438197233,2241,-0.0300301425252654,106,100,"TRPV1","TRPV antagonist","TRPV1","","","Preclinical"
"51","Y-27152","6918184","HA1E","trt_cp","down",-0.285277063364249,0.00190314973195451,0.0267628975158205,-1.10476672960217,-77.9116465863454,2241,0,106,100,"ABCC9; KCNJ8","potassium channel activator","KCNJ8","","","Phase 1"
"52","thioridazine","5452","HA1E","trt_cp","down",-0.284011292968896,0.00207102223014839,0.0286415581127593,-1.09986489486085,-74.6541722445337,2241,-1.10247802513699,106,100,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","dopamine receptor antagonist","DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7","","","Withdrawn"
"53","erythrosine","12961638","HA1E","trt_cp","down",-0.283751036818272,0.00207102223014839,0.0286415581127593,-1.09885702436123,-67.5591253904507,2241,-0.0281168324162375,106,100,NA,"coloring agent","","","","Preclinical"
"54","tacedinaline","2746","HA1E","trt_cp","down",-0.282410249479865,0.00244839264313301,0.0328137452049637,-1.09366467827677,-63.4538152610442,2241,-1.16656483528051,106,100,"HDAC1","HDAC inhibitor","HDAC1","","","Phase 3"
"55","KF-38789","5310849","HA1E","trt_cp","down",-0.28235058242624,0.00244839264313301,0.0328137452049637,-1.09343361106471,-61.9812583668005,2241,0,106,100,"SELP","P selectin inhibitor","SELP","","","Preclinical"
"56","clebopride","2780","HA1E","trt_cp","down",-0.275751252253934,0.00400060943265449,0.0486380971129815,-1.06787698086793,-64.8817492190986,2241,0,106,100,"ACHE","dopamine receptor antagonist","ACHE, DRD2","gastroenterology","nausea","Launched"
"57","nicardipine","4474","HA1E","trt_cp","down",-0.274739345904629,0.00432997897318083,0.0517390831231145,-1.06395826249989,-85.0513163766176,2241,0,106,100,"ADORA3; ADRA1A; ADRA1B; ADRA1D; CACNA1C; CACNA1D; CACNA2D1; CACNB2; CALM1; CALM2; CALM3; CHRM1; CHRM4; CHRM5; PDE1A; PDE1B","calcium channel blocker","ADORA3","cardiology","chronic stable angina, hypertension","Launched"
"58","butoconazole","47472","HA1E","trt_cp","down",-0.27348460057807,0.00506602861626627,0.0585254929836935,-1.05909912354718,-76.5283355644801,2241,-0.973635143419026,106,100,"CYP51A1","bacterial cell wall synthesis inhibitor","","infectious disease","vulvovaginal candidiasis","Launched"
"59","SB-216763","176158","HA1E","trt_cp","down",-0.269990239185529,0.00637667437857474,0.0701403656634229,-1.04556682563946,-71.7090584560464,2241,0,106,100,"CDK2; GSK3A; GSK3B","glycogen synthase kinase inhibitor","CCNA2, CDK2, GSK3A, GSK3B","","","Preclinical"
"60","triflupromazine","5568","HA1E","trt_cp","down",-0.269278865607088,0.0068820108527231,0.0742417114431321,-1.04281195340224,-61.5796519410977,2241,0,106,100,"CHRM1; CHRNA7; DRD1; HTR2B","dopamine receptor antagonist","CHRM1, CHRM2, DRD1, DRD2, HTR2B","neurology/psychiatry, gastroenterology","psychosis, nausea, vomiting","Launched"
"61","resorcinol","5054","HA1E","trt_cp","down",-0.268979008067652,0.0068820108527231,0.0742417114431321,-1.04165072217922,-78.2240071396698,2241,0,106,100,"CA12; CA14; INS-IGF2; PNMT; TPO","phosphodiesterase inhibitor","CA12, CA14, CA2, PTGS1","dermatology","acne vulgaris (AV), eczema, psoriasis, seborrheic dermatitis","Launched"
"62","albendazole","2082","HA1E","trt_cp","down",-0.26758658726178,0.007416722294151,0.0786984275571469,-1.03625841982658,-74.6987951807229,2241,0.0421936702017483,106,100,"CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B","tubulin polymerization inhibitor","TUBA1A, TUBB, TUBB4B","infectious disease","cystic hydatid disease, parenchymal neurocysticercosis","Launched"
"63","riboflavin","493570","HA1E","trt_cp","down",-0.267421709742375,0.00798516054986283,0.0833256217596495,-1.03561991354167,-76.3944667559125,2241,-0.0222086279812552,106,100,"ACP1; ACP5; ACP6; ACPP; ACPT; BLVRB; ENPP1; FLAD1; RFK; SLC52A3","vitamin B","BLVRB, RFK","gastroenterology","jaundice","Launched"
"64","YM-298198","9819432","HA1E","trt_cp","down",-0.267387403907919,0.00798516054986283,0.0833256217596495,-1.03548706043357,-74.8772869254797,2241,0,106,100,"GRM1","glutamate receptor antagonist","GRM1","","","Preclinical"
"65","promazine","4926","HA1E","trt_cp","down",-0.266841570752402,0.00798516054986283,0.0833256217596495,-1.03337326164786,-68.3177153056671,2241,-0.325205599003471,106,100,"ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1; PRNP","dopamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, HRH1, HTR2A, HTR2C","neurology/psychiatry","schizophrenia","Launched"
"66","BMY-7378","2419","HA1E","trt_cp","down",-0.266675418792401,0.00798516054986283,0.0833256217596495,-1.03272981995191,-73.18161535029,2241,0,106,100,"ADRA1A; ADRA1B; ADRA1D","adrenergic receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA1D, HTR1A","","","Preclinical"
"67","imipramine","3696","HA1E","trt_cp","down",-0.265265636462376,0.00925109108420132,0.0936026292086208,-1.02727028319202,-76.1267291387773,2241,0,106,100,"ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM4; CHRM5; DRD1; FMO1; HRH1; HTR6; HTR7; KCND2; KCND3; KCNH1; KCNH2; ORM2; SLC22A3; SLC6A2; SLC6A3; SLC6A4","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7, KCND2, KCND3, KCNH1, KCNH2, SLC6A2, SLC6A3, SLC6A4","neurology/psychiatry, urology","depression, nocturnal enuresis","Launched"
"68","GW-4064","9893571","HA1E","trt_cp","down",-0.263289193008923,0.0106730570928818,0.104359789736271,-1.01961628905535,-77.5546630968318,2241,-0.340862254729915,106,100,"NR1H4","FXR agonist","NR1H4","","","Preclinical"
"69","clomipramine","2801","HA1E","trt_cp","down",-0.263264382240448,0.0106730570928818,0.104359789736271,-1.01952020663209,-68.7193217313699,2241,0,106,100,"HTR2B; SLC6A2; SLC6A3; SLC6A4","serotonin transporter (SERT) inhibitor","GSTP1, HTR2A, HTR2B, HTR2C, SLC6A2, SLC6A3, SLC6A4","neurology/psychiatry","obsessive compulsive disorder (OCD)","Launched"
"70","brompheniramine","6834","HA1E","trt_cp","down",-0.261192979066659,0.0122900293658284,0.115975480397538,-1.01149847055907,-77.7777777777778,2241,-0.0242331589077966,106,100,"CHRM1; CHRM4; CHRM5; HRH1","histamine receptor antagonist","HRH1","allergy, otolaryngology","allergic rhinitis, common cold","Launched"
"71","tipifarnib","9935249","HA1E","trt_cp","down",-0.258164882718908,0.0150961655919563,0.136325287078786,-0.999771835197739,-82.1954484605087,2241,0,106,100,"CHURC1-FNTB; FNTA; FNTB; RP11-598P20.5","farnesyltransferase inhibitor","FNTA, FNTB","","","Phase 3"
"72","pimozide","16362","HA1E","trt_cp","down",-0.256748456271158,0.0161436769251451,0.143667470327646,-0.994286568362932,-57.1173583221776,2241,-0.983482017370557,106,100,"CACNA1I; CALM1; CALM2; CALM3; DRD3; HRH1; KCNA10; KCNH2","dopamine receptor antagonist","CACNA1I, CALM1, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, KCNA10, KCNH2","neurology/psychiatry","Tourette's disorder","Launched"
"73","cetirizine","2678","HA1E","trt_cp","down",-0.256099170305772,0.0172592511454823,0.150906800921192,-0.991772137219759,-57.7420794288264,2241,0,106,100,"HRH1; IL8","histamine receptor antagonist","HRH1","allergy","allergic rhinitis","Launched"
"74","desipramine","2995","HA1E","trt_cp","down",-0.255750482479917,0.0172592511454823,0.150906800921192,-0.990421805354733,-64.9263721552878,2241,-0.710037185941116,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; CHRM1; CHRM4; CHRM5; HRH1; SLC22A3; SLC6A2; SLC6A4; SMPD1; TH","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1","neurology/psychiatry","depression","Launched"
"75","L-168049","5311276","HA1E","trt_cp","down",-0.255561122935175,0.0172592511454823,0.150906800921192,-0.989688489740442,-73.7617135207497,2241,-0.996449330220157,106,100,"GCGR","glucagon receptor antagonist","GCGR","","","Preclinical"
"76","papaverine","6084","HA1E","trt_cp","down",-0.254171709862966,0.019688430384091,0.166660804334368,-0.984307835166434,-70.4596162427488,2241,-0.0292727541952553,106,100,"PDE10A; PDE4B; PDE5A","phosphodiesterase inhibitor","PDE10A, PDE4B, PDE5A","cardiology, hematology, gastroenterology","myocardial infarction, angina pectoris, pulmonary embolism (PE), colitis, vascular spasm","Launched"
"77","ABT-737","11228183","HA1E","trt_cp","down",-0.253787744601479,0.019688430384091,0.166660804334368,-0.982820887561141,-64.1677822400714,2241,0,106,100,"BAD; BCL2; BCL2L1; BCL2L2","BCL inhibitor","BCL2, BCL2L1, BCL2L2","","","Phase 1/Phase 2"
"78","SKF-81297","11957706","HA1E","trt_cp","down",-0.253135101368572,0.0210093900237998,0.175387380187783,-0.98029345503112,-67.7822400713967,2241,0,106,100,"DRD1","dopamine receptor agonist","DRD1, DRD5","","","Preclinical"
"79","niclosamide","4477","NKDBA","trt_cp","down",-0.253108307343512,0.0210093900237998,0.175387380187783,-0.856175632188984,NA,229,-1.10225499687337,106,100,"STAT3","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"80","caffeic-acid","689043","HA1E","trt_cp","down",-0.252756155186173,0.0210093900237998,0.175387380187783,-0.978825944360311,-50.2454261490406,2241,-0.808283561269913,106,100,"ALOX5; MIF; RELA; TNF","HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor","ALOX5, MIF","","","Preclinical"
"81","oxibendazole","4622","HA1E","trt_cp","down",-0.252729756025317,0.0210093900237998,0.175387380187783,-0.978723710713278,-59.2146363230701,2241,0,106,100,"TUBB; TUBB4B","tubulin polymerization inhibitor","TUBB, TUBB4B","infectious disease","strongyles","Launched"
