"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"11","SA-1920013","NKDBA","trt_cp","down",-0.625977273043658,1.62759077963731e-05,0.000124761495428982,-1.51191814632166,NA,229,-1.38438574356652,100,31,NA,NA,"54666569"
"12","pyrvinium-pamoate","NKDBA","trt_cp","down",-0.616757653445567,1.66675740267671e-05,0.000124761495428982,-1.48965006923196,NA,229,-1.687942110243,100,31,"AR","AKT inhibitor","73707397"
"13","rhodomyrtoxin-b","HA1E","trt_cp","down",-0.612164141168806,1.6885166376986e-05,0.000124761495428982,-1.73924968383398,-97.3226238286479,2241,-1.73639503837389,100,31,NA,"sodium fluorescein uptake inhibitor","3270699"
"14","avrainvillamide-analog-3","HA1E","trt_cp","down",-0.59563301791534,1.75814618976864e-05,0.000124761495428982,-1.69228229558233,-98.9736724676484,2241,-1.26356288348198,100,31,"NPM1","nucleophosmin inhibitor","73707609"
"15","SA-1922659","NKDBA","trt_cp","down",-0.592431709149637,1.77555357778615e-05,0.000124761495428982,-1.43089580100014,NA,229,-1.41179475026881,100,31,NA,NA,"54668627"
"16","rottlerin","HA1E","trt_cp","down",-0.592190975356104,1.77555357778615e-05,0.000124761495428982,-1.6825029389845,-97.3226238286479,2241,-1.58244055592242,100,31,"KCNH2; TGM2","MAP kinase inhibitor; Protein kinase inhibitor","5281847"
"17","niclosamide","HA1E","trt_cp","down",-0.589395932298735,1.78860911879929e-05,0.000124761495428982,-1.67456180452904,-96.1624274877287,2241,-1.47627195335995,100,31,"STAT3","DNA replication inhibitor; STAT inhibitor","4477"
"18","NSC-663284","HA1E","trt_cp","down",-0.587732670701112,1.79296096580367e-05,0.000124761495428982,-1.66983623010667,-95.6269522534583,2241,-1.5395077291138,100,31,"CDC25A; CDC25B; CDC25C","CDC inhibitor","379077"
"19","IKK-2-inhibitor-V","HA1E","trt_cp","down",-0.585858222208843,1.80166465981242e-05,0.000124761495428982,-1.66451064219929,-96.4301651048639,2241,-1.37982465599928,100,31,"IKBKB","IKK inhibitor; NFkB pathway inhibitor","5081913"
"20","MW-STK33-2A","NKDBA","trt_cp","down",-0.582809862039298,1.81472020082555e-05,0.000124761495428982,-1.4076562268595,NA,229,0,100,31,NA,NA,"709391"
"21","BNTX","HA1E","trt_cp","down",-0.579410791226517,1.83212758884307e-05,0.000124761495428982,-1.64619252857025,-97.8580990629183,2241,-1.344828078986,100,31,"OPRD1; OPRK1; OPRM1","Opioid receptor antagonist","6438353"
"22","BRD-A47816767","HA1E","trt_cp","down",-0.575676811988768,1.8451831298562e-05,0.000124761495428982,-1.63558373630043,-98.3043284248104,2241,-1.63036282878364,100,31,NA,NA,"2876959"
"23","CGK-733","HA1E","trt_cp","down",-0.574037667699721,1.85388682386495e-05,0.000124761495428982,-1.63092668275096,-95.4484605087015,2241,-1.50633726358345,100,31,"ATM; ATR","ATR kinase inhibitor","6605258"
"24","SA-425500","NKDBA","trt_cp","down",-0.573839253396267,1.85388682386495e-05,0.000124761495428982,-1.38598958403555,NA,229,-1.24005906776054,100,31,NA,NA,"44498587"
"25","SA-1460192","NKDBA","trt_cp","down",-0.573637396987134,1.85388682386495e-05,0.000124761495428982,-1.38550204178591,NA,229,-0.928286367996562,100,31,NA,NA,"54657694"
"26","SA-1459854","NKDBA","trt_cp","down",-0.569757787438597,1.87129421188247e-05,0.000124761495428982,-1.37613165035212,NA,229,-0.922008205735922,100,31,NA,NA,"54660156"
"27","CD-437","HA1E","trt_cp","down",-0.568560475453759,1.87564605888684e-05,0.000124761495428982,-1.61536516216941,-98.1258366800535,2241,-1.57855731729654,100,31,"RARG","Retinoid receptor agonist","135411"
"28","wortmannin","NKDBA","trt_cp","down",-0.563852369572452,1.89740529390873e-05,0.000124761495428982,-1.36186833949736,NA,229,-1.34954719239677,100,31,"ATM; ATR; MTOR; MYLK; PI4KA; PI4KB; PIK3C2B; PIK3C3; PIK3CA; PIK3CD; PIK3CG; PIK3R1; PIK3R4; PLK1; PLK2; PLK3; PRKDC","PI3K inhibitor","312145"
"29","chlorambucil","HA1E","trt_cp","down",-0.56316463239117,1.90175714091311e-05,0.000124761495428982,-1.60003476675829,-98.88442659527,2241,-0.926056371294621,100,31,NA,"DNA inhibitor","2708"
"30","PCI-24781","HA1E","trt_cp","down",-0.563037634317343,1.90175714091311e-05,0.000124761495428982,-1.59967394627748,-98.5274431057563,2241,-1.36317563163415,100,31,NA,NA,"11749858"
"31","BRD-K48974000","HA1E","trt_cp","down",-0.562362000087712,1.90610898791749e-05,0.000124761495428982,-1.59775436860011,-97.9473449352967,2241,-1.00850481746146,100,31,NA,NA,"1398345"
"32","camptothecin","HA1E","trt_cp","down",-0.558953057678339,1.91916452893062e-05,0.000124761495428982,-1.58806905446788,-98.3489513609995,2241,-1.37189030925578,100,31,"HIF1A; TOP1","Topoisomerase inhibitor","2538"
"33","SA-90030","NKDBA","trt_cp","down",-0.558540424795256,1.91916452893062e-05,0.000124761495428982,-1.34903843968031,NA,229,-1.12362171782091,100,31,NA,NA,"44484225"
"34","lasalocid","HA1E","trt_cp","down",-0.558044093707442,1.923516375935e-05,0.000124761495428982,-1.58548655217367,-97.9919678714859,2241,-1.60046181668044,100,31,NA,"Bacterial permeability inducer","5360807"
"35","cucurbitacin-i","HA1E","trt_cp","down",-0.55781564590885,1.923516375935e-05,0.000124761495428982,-1.58483749788455,-97.5011155734047,2241,-1.3057314474918,100,31,"JAK2; STAT3","JAK inhibitor; Lipocortin synthesis stimulant; STAT inhibitor","73707401"
"36","TW-37","HA1E","trt_cp","down",-0.555334767501749,1.93657191694813e-05,0.000124761495428982,-1.57778895208612,-98.4828201695671,2241,-1.39880954481446,100,31,"BCL2; BCL2L1; MCL1","BCL inhibitor","11455910"
"37","brefeldin-a","HA1E","trt_cp","down",-0.554843075617891,1.93657191694813e-05,0.000124761495428982,-1.57639198206447,-97.4118697010263,2241,-1.34978061777958,100,31,"ARF1; ARFGEF1; ARFGEF2; CYTH2; GBF1; SAR1A","Brefeldin A inhibited guanine nucleotide exchange protein inhibitor; Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor; Protein synthesis inhibitor","5287620"
"38","BRD-K05153001","HA1E","trt_cp","down",-0.554314526894645,1.94092376395251e-05,0.000124761495428982,-1.57489029626164,-93.2173136992414,2241,-1.57565331014164,100,31,NA,NA,"665013"
"39","geldanamycin","NKDBA","trt_cp","down",-0.551177303003777,1.95397930496564e-05,0.000124761495428982,-1.33125434762217,NA,229,-1.05292968987309,100,31,"HSP90AA1; HSP90AB1; HSP90B1","HSP inhibitor","3460"
"40","SA-1472623","NKDBA","trt_cp","down",-0.550243254751651,1.95833115197002e-05,0.000124761495428982,-1.3289983479833,NA,229,-1.29887490702653,100,31,NA,NA,"54654428"
"41","NNC-55-0396","HA1E","trt_cp","down",-0.549740928782141,1.95833115197002e-05,0.000124761495428982,-1.56189602146474,-95.0022311468095,2241,-1.55872916545298,100,31,"CATSPER1; CATSPER2; CATSPER3; CATSPER4","T-type calcium channel blocker","9957280"
"42","malonoben","HA1E","trt_cp","down",-0.549255917829719,1.9626829989744e-05,0.000124761495428982,-1.56051803296635,-96.0731816153503,2241,-1.38641833680044,100,31,"EGFR","Protein tyrosine kinase inhibitor","16759147"
"43","Ro-08-2750","HA1E","trt_cp","down",-0.54760598896178,1.96703484597878e-05,0.000124761495428982,-1.55583033881878,-95.9393128067827,2241,-0.999779785007065,100,31,"NGF; NGFR",NA,"17756791"
"44","BRD-K99636700","HA1E","trt_cp","down",-0.547402250869215,1.97138669298316e-05,0.000124761495428982,-1.55525148849213,-99.1967871485944,2241,-1.44749730169887,100,31,NA,NA,"NotFound"
"45","JAK3-inhibitor-VI","HA1E","trt_cp","down",-0.545986476177853,1.97573853998753e-05,0.000124761495428982,-1.55122906130515,-98.1258366800535,2241,-1.1329865732059,100,31,NA,"JAK inhibitor","9947841"
"46","RS-17053","HA1E","trt_cp","down",-0.545878746601265,1.97573853998753e-05,0.000124761495428982,-1.5509229855006,-96.6532797858099,2241,-1.47436480858834,100,31,"ADRA1A; ADRA1D","Adrenergic receptor antagonist","3894573"
"47","methylene-blue","HA1E","trt_cp","down",-0.545071270612658,1.98009038699191e-05,0.000124761495428982,-1.54862882571005,-96.9656403391343,2241,-1.3727844991117,100,31,"ACHE; MAPT","Guanylyl cyclase inhibitor; Monoamine oxidase inhibitor; Nitric oxide production inhibitor; Tau aggregation inhibitor","4139"
"48","SKI-II","NKDBA","trt_cp","down",-0.543464713846192,1.98879408100067e-05,0.000124761495428982,-1.31262618969276,NA,229,-1.31593727092455,100,31,"SPHK1",NA,"753704"
"49","mitomycin-c","HA1E","trt_cp","down",-0.540208179483824,2.0018496220138e-05,0.000124761495428982,-1.5348120580501,-97.0548862115127,2241,-1.31754581421001,100,31,NA,"DNA alkylating agent; DNA inhibitor; DNA synthesis inhibitor","5746"
"50","BRD-K73610817","HA1E","trt_cp","down",-0.539671887525546,2.0018496220138e-05,0.000124761495428982,-1.53328837256095,-96.5194109772423,2241,-1.53446830906725,100,31,NA,NA,"3426979"
"51","KUC111774N","HA1E","trt_cp","down",-0.539084579657315,2.00620146901818e-05,0.000124761495428982,-1.53161974325806,-97.2780008924587,2241,-1.49043617007035,100,31,NA,NA,"12387471"
"52","CHEMBL-399379","NKDBA","trt_cp","down",-0.53671660940191,2.01490516302693e-05,0.000124761495428982,-1.29632754435541,NA,229,-0.868539454718122,100,31,NA,NA,"16747776"
"53","BRD-K21064560","HA1E","trt_cp","down",-0.536343421731218,2.01925701003131e-05,0.000124761495428982,-1.52383170450231,-93.9312806782686,2241,-1.20277553187712,100,31,NA,NA,"16759163"
"54","penfluridol","HA1E","trt_cp","down",-0.533927522032444,2.02796070404007e-05,0.000124761495428982,-1.5169677729116,-94.8237394020527,2241,-1.40501251008835,100,31,"CACNA1G; DRD1","T-type calcium channel blocker","33630"
"55","MG-132","NKDBA","trt_cp","down",-0.533740526551862,2.02796070404007e-05,0.000124761495428982,-1.28913943408414,NA,229,-1.30338204469184,100,31,"PSMB1","Proteasome inhibitor","462382"
"56","SA-247714","NKDBA","trt_cp","down",-0.532884903480903,2.03231255104445e-05,0.000124761495428982,-1.28707285418883,NA,229,-1.44650397807798,100,31,NA,NA,"44507332"
"57","SA-1458163","NKDBA","trt_cp","down",-0.532848358448431,2.03231255104445e-05,0.000124761495428982,-1.28698458724986,NA,229,-1.41455072333289,100,31,NA,NA,"54658692"
"58","CGP-71683","HA1E","trt_cp","down",-0.532421277722833,2.03666439804882e-05,0.000124761495428982,-1.51268830803758,-91.6555109326194,2241,-1.4622691331659,100,31,"NPY5R","Neuropeptide receptor antagonist","56668433"
"59","vorinostat","NKDBA","trt_cp","down",-0.531516565777251,2.03666439804882e-05,0.000124761495428982,-1.28376791854094,NA,229,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311"
"60","tyrphostin-AG-556","HA1E","trt_cp","down",-0.527679235495472,2.05407178606633e-05,0.000124761495428982,-1.49921545837194,-96.2962962962963,2241,-0.953438488250841,100,31,"EGFR","EGFR inhibitor","2059"
"61","Y-134","HA1E","trt_cp","down",-0.52745497126139,2.05842363307071e-05,0.000124761495428982,-1.49857829021394,-92.904953145917,2241,-0.994277019535861,100,31,"ESR1; ESR2","Estrogen receptor antagonist","11784736"
"62","AM-404","HA1E","trt_cp","down",-0.5265333397314,2.05842363307071e-05,0.000124761495428982,-1.49595979749385,-98.9290495314592,2241,-0.93549480959343,100,31,"CNR1; CNR2; FAAH; TRPV1","Cyclooxygenase inhibitor; FAAH inhibitor; TRPV antagonist","6604822"
"63","SA-1919877","NKDBA","trt_cp","down",-0.525878448452068,2.06277548007509e-05,0.000124761495428982,-1.27015021664965,NA,229,-0.851000645155265,100,31,NA,NA,"54667404"
"64","SA-247636","NKDBA","trt_cp","down",-0.52524657662009,2.06712732707947e-05,0.000124761495428982,-1.26862406141997,NA,229,-1.31327355711627,100,31,NA,NA,"44507299"
"65","ixazomib","NKDBA","trt_cp","down",-0.524699426402266,2.06712732707947e-05,0.000124761495428982,-1.26730253366055,NA,229,-1.34440273544,100,31,"PSMB5",NA,"25183872"
"66","irinotecan","HA1E","trt_cp","down",-0.524375875343056,2.07147917408385e-05,0.000124761495428982,-1.48983011918871,-98.2150825524319,2241,-1.28946873266612,100,31,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","Topoisomerase inhibitor","60838"
"67","purvalanol-a","HA1E","trt_cp","down",-0.523729397626479,2.07147917408385e-05,0.000124761495428982,-1.48799337951621,-96.8763944667559,2241,-1.58035647465699,100,31,"CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC","CDK inhibitor; DYRK inhibitor","456214"
"68","BRD-K67774729","HA1E","trt_cp","down",-0.521874452787848,2.0801828680926e-05,0.000124761495428982,-1.48272320439952,-95.8946898705935,2241,-1.2294514753237,100,31,NA,NA,"54645916"
"69","tigecycline","HA1E","trt_cp","down",-0.518824695915572,2.09323840910573e-05,0.000124761495428982,-1.47405838998268,-97.7688531905399,2241,-1.51769040782156,100,31,NA,NA,"73707446"
"70","AG-957","HA1E","trt_cp","down",-0.518466526489646,2.09759025611011e-05,0.000124761495428982,-1.47304077719077,-93.2619366354306,2241,-0.584472821013152,100,31,"ABL1; EGFR","Protein tyrosine kinase inhibitor","2064"
"71","panobinostat","NKDBA","trt_cp","down",-0.517405129257326,2.10194210311449e-05,0.000124761495428982,-1.2496846732477,NA,229,-1.19970828206436,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","6918837"
"72","SA-1459234","NKDBA","trt_cp","down",-0.517343147585461,2.10194210311449e-05,0.000124761495428982,-1.24953496938709,NA,229,-1.25460937652726,100,31,NA,NA,"54657607"
"73","SA-1922261","NKDBA","trt_cp","down",-0.516738268993543,2.10194210311449e-05,0.000124761495428982,-1.24807401072481,NA,229,-0.836209587185624,100,31,NA,NA,"54666567"
"74","triflupromazine","HA1E","trt_cp","down",-0.514940217137951,2.11064579712325e-05,0.000124761495428982,-1.46302200605967,-93.2619366354306,2241,-1.03590756957387,100,31,"CHRM1; CHRNA7; DRD1; HTR2B","Dopamine receptor antagonist","5568"
"75","COL-3","HA1E","trt_cp","down",-0.513954434547828,2.11499764412762e-05,0.000124761495428982,-1.46022125060391,-96.5640339134315,2241,-1.48377048730087,100,31,NA,NA,"73707525"
"76","BRD-K84203638","HA1E","trt_cp","down",-0.513566717938357,2.11499764412762e-05,0.000124761495428982,-1.45911968985396,-95.0022311468095,2241,-1.18840899007963,100,31,NA,NA,"3237904"
"77","vorinostat","HA1E","trt_cp","down",-0.512869214705013,2.119349491132e-05,0.000124761495428982,-1.45713797907333,-96.8317715305667,2241,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311"
"78","terfenadine","HA1E","trt_cp","down",-0.512039152212502,2.12370133813638e-05,0.000124761495428982,-1.4547796476544,-91.9232485497546,2241,-1.3625364199076,100,31,"CHRM1; CHRM4; CHRM5; HRH1; KCNH1; KCNH2","Histamine receptor antagonist","5405"
"79","FCCP","HA1E","trt_cp","down",-0.510578605053363,2.12805318514076e-05,0.000124761495428982,-1.45063001520467,-93.2173136992414,2241,-1.44601787393091,100,31,NA,"Mitochondrial oxidative phosphorylation uncoupler","3330"
"80","BRD-A24021119","HA1E","trt_cp","down",-0.510541217748976,2.12805318514076e-05,0.000124761495428982,-1.45052379229326,-96.5640339134315,2241,-1.4508898058418,100,31,NA,NA,"44142351"
"81","15-delta-prostaglandin-j2","HA1E","trt_cp","down",-0.509440029491519,2.13675687914951e-05,0.000124761495428982,-1.44739515211357,-94.466755912539,2241,-0.836211918882491,100,31,"NR1H4; PPARG","PPAR receptor agonist","6375741"
"82","NSC-3852","HA1E","trt_cp","down",-0.509423731410946,2.13675687914951e-05,0.000124761495428982,-1.44734884683435,-92.8603302097278,2241,-1.23730762969453,100,31,"HDAC1","HDAC inhibitor","19103"
"83","ER-27319","HA1E","trt_cp","down",-0.509306158189943,2.13675687914951e-05,0.000124761495428982,-1.44701480376697,-95.8054439982151,2241,-1.10836363686974,100,31,NA,"Mediator release inhibitor; SYK inhibitor","9799509"
"84","BAY-11-7082","HA1E","trt_cp","down",-0.509085380099724,2.13675687914951e-05,0.000124761495428982,-1.44638754026395,-93.351182507809,2241,0,100,31,NA,NA,"5353431"
"85","pevonedistat","HA1E","trt_cp","down",-0.506890432414863,2.14546057315827e-05,0.000124761495428982,-1.44015136631944,-97.3672467648371,2241,-1.02841640596011,100,31,"NAE1; NEDD8; UBA3",NA,"16720766"
"86","SA-1919875","NKDBA","trt_cp","down",-0.506603302624459,2.14546057315827e-05,0.000124761495428982,-1.22359510354137,NA,229,-0.819808719372719,100,31,NA,NA,"54666573"
"87","trichostatin-a","HA1E","trt_cp","down",-0.505337172185372,2.15416426716702e-05,0.000124761495428982,-1.43573832220042,-95.7161981258367,2241,-1.21905741716401,100,31,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","CDK activator; HDAC inhibitor; ID1 inhibitor","444732"
"88","AG-592","HA1E","trt_cp","down",-0.503907178364025,2.1585161141714e-05,0.000124761495428982,-1.43167549634311,-91.789379741187,2241,-1.31911359762233,100,31,NA,"Tyrosine kinase inhibitor","NotFound"
"89","oxetane","HA1E","trt_cp","down",-0.501688346270278,2.16721980818016e-05,0.000124761495428982,-1.42537146322846,-94.466755912539,2241,-0.993395650090086,100,31,NA,NA,"73707606"
"90","perhexiline","HA1E","trt_cp","down",-0.501550126789738,2.16721980818016e-05,0.000124761495428982,-1.4249787610565,-92.6372155287818,2241,-1.50078596356895,100,31,"CPT1A; CPT2; KCNH2","Carnitine palmitoyltransferase inhibitor","5284439"
"91","avrainvillamide-analog-4","HA1E","trt_cp","down",-0.500426038431206,2.17592350218891e-05,0.000124761495428982,-1.42178505827207,-96.1624274877287,2241,-1.3162194000306,100,31,"NPM1","nucleophosmin inhibitor","11852606"
"92","SA-247592","NKDBA","trt_cp","down",-0.499961432865888,2.17592350218891e-05,0.000124761495428982,-1.20755304603238,NA,229,-1.00213803142304,100,31,NA,NA,"44507283"
"93","PD-198306","HA1E","trt_cp","down",-0.499654189129773,2.17592350218891e-05,0.000124761495428982,-1.41959211921668,-92.5479696564034,2241,-1.4267626280764,100,31,"MAP2K1; MAP2K2; MAPK3","MAP kinase inhibitor; MEK inhibitor","9956637"
"94","menadione","HA1E","trt_cp","down",-0.499415064086469,2.18027534919329e-05,0.000124761495428982,-1.41891272928186,-89.7367246764837,2241,-1.14569258872656,100,31,"AOX1; BGLAP; CDC25A; F10; F2; F7; F9; GGCX; NQO1; NQO2; PKM; PROC; PROS1; PROZ; RP11-196G11.1; VKORC1; VKORC1L1","Mitochondrial DNA polymerase inhibitor; Phosphatase inhibitor","4055"
"95","apicidin","HA1E","trt_cp","down",-0.498993074858693,2.18027534919329e-05,0.000124761495428982,-1.41771379490849,-97.5903614457831,2241,-1.31614321583779,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","467801"
"96","BRD-K95352812","HA1E","trt_cp","down",-0.49616527034683,2.19333089020643e-05,0.000124761495428982,-1.40967958027153,-93.3958054439982,2241,-1.33682592316157,100,31,NA,NA,"56643190"
"97","dactinomycin","HA1E","trt_cp","down",-0.494981570668902,2.1976827372108e-05,0.000124761495428982,-1.40631651283236,-93.1726907630522,2241,-1.07428078814296,100,31,"POLR2A; TOP2A; TOP2B","RNA polymerase inhibitor","457193"
"98","CMPD-1","HA1E","trt_cp","down",-0.493549447739179,2.20203458421518e-05,0.000124761495428982,-1.40224763786041,-92.458723784025,2241,-0.0280449527572081,100,31,"GNRHR; MAPK14","p38 MAPK inhibitor","11382492"
"99","trichostatin-a","NKDBA","trt_cp","down",-0.492434832280008,2.21073827822394e-05,0.000124761495428982,-1.18937410488556,NA,229,-1.21905741716401,100,31,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","CDK activator; HDAC inhibitor; ID1 inhibitor","444732"
"100","SA-1921574","NKDBA","trt_cp","down",-0.491598543175299,2.21073827822394e-05,0.000124761495428982,-1.18735422217188,NA,229,-1.08976974335826,100,31,NA,NA,"54669029"
"101","CDC","HA1E","trt_cp","down",-0.490257618665857,2.21944197223269e-05,0.000124761495428982,-1.39289506019377,-96.6979027219991,2241,-0.789719349415934,100,31,"ALOX12; ALOX5","Lipoxygenase inhibitor","14840979"
"102","tyrphostin-AG-555","HA1E","trt_cp","down",-0.488619735861494,2.22379381923707e-05,0.000124761495428982,-1.38824159071056,-92.4141008478358,2241,-1.02429377086557,100,31,"CDK2; EGFR","EGFR inhibitor","5328770"
"103","SA-96805","NKDBA","trt_cp","down",-0.486920242557614,2.23249751324583e-05,0.000124761495428982,-1.17605475827372,NA,229,-1.06450017667431,100,31,NA,NA,"44497527"
"104","niclosamide","NKDBA","trt_cp","down",-0.485996303874929,2.2368493602502e-05,0.000124761495428982,-1.17382317620102,NA,229,-1.47627195335995,100,31,"STAT3","DNA replication inhibitor; STAT inhibitor","4477"
"105","RS-504393","HA1E","trt_cp","down",-0.484381946211119,2.24555305425896e-05,0.000124761495428982,-1.37620139787029,-86.702365015618,2241,-1.06961691372949,100,31,"CCL2; CCR2","CC chemokine receptor antagonist","9953769"
"106","NTNCB","HA1E","trt_cp","down",-0.482926986334019,2.24990490126334e-05,0.000124761495428982,-1.37206763972267,-88.1749219098617,2241,-1.18663676279756,100,31,"NPY5R","Neuropeptide receptor antagonist","9982218"
"107","pyrrolidine-dithiocarbamate","HA1E","trt_cp","down",-0.482732746805529,2.24990490126334e-05,0.000124761495428982,-1.37151577623411,-98.2597054886212,2241,0,100,31,"HSD11B1; RELA","NFkB pathway inhibitor","517348"
"108","vanoxerine","HA1E","trt_cp","down",-0.481032538838502,2.25860859527209e-05,0.000124761495428982,-1.36668523166243,-93.4404283801874,2241,-1.09553083476111,100,31,"MAOA; MAOB; SLC6A3","Dopamine uptake inhibitor","10238982"
"109","mitoxantrone","HA1E","trt_cp","down",-0.479065911753597,2.26731228928085e-05,0.000124761495428982,-1.36109775061672,-92.681838464971,2241,-1.14597370619101,100,31,"ABCB1; ABCC1; ABCG2; PIM1; TOP2A; TOP2B","Topoisomerase inhibitor","4212"
"110","BRD-A06276885","HA1E","trt_cp","down",-0.477193474083919,2.2760159832896e-05,0.000124761495428982,-1.35577787575641,-89.2012494422133,2241,-1.16719256977001,100,31,NA,NA,"4257102"
"111","fenretinide","HA1E","trt_cp","down",-0.476129930472823,2.28036783029398e-05,0.000124761495428982,-1.35275618963509,-82.1508255243195,2241,-0.961901474034268,100,31,"CYP2C8; CYP3A5; RARA; RARG; RBP4","Apoptosis stimulant; Retinoid receptor agonist","5353342"
"112","ISOX","HA1E","trt_cp","down",-0.475718208210144,2.28036783029398e-05,0.000124761495428982,-1.35158642524179,-97.7242302543507,2241,-1.15847391816295,100,31,"HDAC6","HDAC inhibitor","24951314"
"113","tacedinaline","HA1E","trt_cp","down",-0.473156380212952,2.29342337130712e-05,0.000124761495428982,-1.34430788957709,-92.235609103079,2241,-1.35275374292746,100,31,"HDAC1","HDAC inhibitor","2746"
"114","ixazomib","HA1E","trt_cp","down",-0.47310288347576,2.29342337130712e-05,0.000124761495428982,-1.34415589736292,-94.1543953592146,2241,-1.34440273544,100,31,"PSMB5",NA,"25183872"
"115","doxorubicin","HA1E","trt_cp","down",-0.472910845572206,2.29342337130712e-05,0.000124761495428982,-1.34361028901938,-96.9210174029451,2241,-1.16922698146546,100,31,"CHD1; NOLC1; TOP2A","Topoisomerase inhibitor","31703"
"116","BRD-K63770300","HA1E","trt_cp","down",-0.472292558141971,2.29777521831149e-05,0.000124761495428982,-1.34185364215747,-90.8076751450245,2241,-0.0268370728431495,100,31,NA,NA,"56643207"
"117","thiostrepton","NKDBA","trt_cp","down",-0.471419941855919,2.30212706531587e-05,0.000124761495428982,-1.13861699988612,NA,229,-1.15152234285743,100,31,"FOXM1","FOXM1 inhibitor; Protein synthesis inhibitor","16129995"
"118","BRD-K73261812","HA1E","trt_cp","down",-0.470086779167854,2.30647891232025e-05,0.000124761495428982,-1.33558669490372,-94.4221329763498,2241,-1.46762485271652,100,31,NA,NA,"11238147"
