"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"22","IKK-2-inhibitor-V","HA1E","trt_cp","down",-0.366510935946368,2.75471915377116e-05,0.00126836081040662,-1.4193538144772,-89.1120035698349,2241,-1.13992910290575,106,100,"IKBKB","IKK inhibitor; NFkB pathway inhibitor","5081913"
"23","irinotecan","HA1E","trt_cp","down",-0.363907050135885,2.77212654178868e-05,0.00126836081040662,-1.40926998096748,-96.7425256581883,2241,-1.18596456679013,106,100,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","Topoisomerase inhibitor","60838"
"24","PD-198306","HA1E","trt_cp","down",-0.363090748634593,2.77647838879305e-05,0.00126836081040662,-1.40610876383591,-92.235609103079,2241,-1.16699880766382,106,100,"MAP2K1; MAP2K2; MAPK3","MAP kinase inhibitor; MEK inhibitor","9956637"
"25","methylene-blue","HA1E","trt_cp","down",-0.360473142753614,2.78953392980619e-05,0.00126836081040662,-1.39597179784779,-93.4850513163766,2241,-1.25619121359377,106,100,"ACHE; MAPT","Guanylyl cyclase inhibitor; Monoamine oxidase inhibitor; Nitric oxide production inhibitor; Tau aggregation inhibitor","4139"
"26","perhexiline","HA1E","trt_cp","down",-0.358033012116767,2.79823762381494e-05,0.00126836081040662,-1.38652212421584,-90.9415439535921,2241,-1.37233221315809,106,100,"CPT1A; CPT2; KCNH2","Carnitine palmitoyltransferase inhibitor","5284439"
"27","ixazomib","NKDBA","trt_cp","down",-0.357573571834736,2.79823762381494e-05,0.00126836081040662,-1.20954457059438,NA,229,-1.14828307344731,106,100,"PSMB5",NA,"25183872"
"28","MW-STK33-2A","NKDBA","trt_cp","down",-0.355785134850797,2.81782093533464e-05,0.00126836081040662,-1.20349492259418,NA,229,-0.709387845500521,106,100,NA,NA,"709391"
"29","BRD-K73610817","HA1E","trt_cp","down",-0.353357375724695,2.85481163487185e-05,0.00126836081040662,-1.36841520925829,-91.9678714859438,2241,-1.37124227175068,106,100,NA,NA,"3426979"
"30","berbamine","HA1E","trt_cp","down",-0.352316559063722,2.8656912523828e-05,0.00126836081040662,-1.36438453253616,-91.343150379295,2241,-1.10516005011502,106,100,"CALM1","Calmodulin antagonist","275182"
"31","SA-84869","NKDBA","trt_cp","down",-0.350153064472617,2.9048578754222e-05,0.00126836081040662,-1.18444362606749,NA,229,-0.793577229465216,106,100,NA,NA,"44492693"
"32","geldanamycin","NKDBA","trt_cp","down",-0.348806631996422,2.9440244984616e-05,0.00126836081040662,-1.1798891225484,NA,229,0,106,100,"HSP90AA1; HSP90AB1; HSP90B1","HSP inhibitor","3460"
"33","BRD-K05153001","HA1E","trt_cp","down",-0.348509618672675,2.9440244984616e-05,0.00126836081040662,-1.34964173815932,-85.6760374832664,2241,-1.36196209630295,106,100,NA,NA,"665013"
"34","wortmannin","NKDBA","trt_cp","down",-0.347584060475119,2.97013558048787e-05,0.00126836081040662,-1.17575359670915,NA,229,-1.06703853373997,106,100,"ATM; ATR; MTOR; MYLK; PI4KA; PI4KB; PIK3C2B; PIK3C3; PIK3CA; PIK3CD; PIK3CG; PIK3R1; PIK3R4; PLK1; PLK2; PLK3; PRKDC","PI3K inhibitor","312145"
"35","niguldipine","HA1E","trt_cp","down",-0.347445543972664,2.99407073901195e-05,0.00126836081040662,-1.34552099212906,-89.8259705488621,2241,-1.34567693150205,106,100,"ADRA1A; ADRA1B; ADRA1D; CACNA1C","Adrenergic receptor antagonist; Calcium channel blocker","71317558"
"36","niclosamide","HA1E","trt_cp","down",-0.345488092182267,3.03976513255791e-05,0.00126836081040662,-1.33794054529142,-85.9437751004016,2241,-1.10225499687337,106,100,"STAT3","DNA replication inhibitor; STAT inhibitor","4477"
"37","JAK3-inhibitor-VI","HA1E","trt_cp","down",-0.343118635584166,3.13550576665423e-05,0.00126844456877079,-1.32876456462915,-90.0490852298081,2241,-1.09819252823404,106,100,NA,"JAK inhibitor","9947841"
"38","BRD-K67774729","HA1E","trt_cp","down",-0.341626983222436,3.18990385420895e-05,0.0012714242976932,-1.32298797718837,-90.2721999107541,2241,-0.892789842288057,106,100,NA,NA,"54645916"
"39","avrainvillamide-analog-3","HA1E","trt_cp","down",-0.341052460676069,3.25082971227024e-05,0.00127579103550035,-1.32076307558869,-90.2275769745649,2241,-0.920952829838414,106,100,"NPM1","nucleophosmin inhibitor","73707609"
"40","SA-1459234","NKDBA","trt_cp","down",-0.340142340033351,3.3356907288556e-05,0.00127959101114598,-1.15058089585758,NA,229,-0.770889200224582,106,100,NA,NA,"54657607"
"41","MG-132","NKDBA","trt_cp","down",-0.340102089640136,3.3356907288556e-05,0.00127959101114598,-1.1504447430532,NA,229,-1.17309059141167,106,100,"PSMB1","Proteasome inhibitor","462382"
"42","trichostatin-a","NKDBA","trt_cp","down",-0.339687261825291,3.3356907288556e-05,0.00127959101114598,-1.14904152768524,NA,229,-0.991242491883706,106,100,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","CDK activator; HDAC inhibitor; ID1 inhibitor","444732"
"43","vorinostat","NKDBA","trt_cp","down",-0.338890558648499,3.43795913345848e-05,0.00128975387703851,-1.14634656341,NA,229,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311"
"44","aminopurvalanol-a","HA1E","trt_cp","down",-0.33724306206173,3.62291263114454e-05,0.00131929138571219,-1.30601076147242,-90.5845604640785,2241,-1.30981386589828,106,100,"CDK1; CDK2; CDK5; CDK6","CDK inhibitor; Tyrosine kinase inhibitor","6604931"
"45","malonoben","HA1E","trt_cp","down",-0.336779676944277,3.62291263114454e-05,0.00131929138571219,-1.30421625176065,-89.0227576974565,2241,-1.30157897631544,106,100,"EGFR","Protein tyrosine kinase inhibitor","16759147"
"46","CMPD-1","HA1E","trt_cp","down",-0.334443619061857,4.07115287259546e-05,0.0013920677188467,-1.2951696112895,-88.3087907184293,2241,-0.0259033922257899,106,100,"GNRHR; MAPK14","p38 MAPK inhibitor","11382492"
"47","PCI-24781","HA1E","trt_cp","down",-0.332840309501768,4.20388420622898e-05,0.0014101730115435,-1.2889606190966,-85.4082998661312,2241,-1.22540409236734,106,100,NA,NA,"11749858"
"48","PSB-069","HA1E","trt_cp","down",-0.331581422602884,4.37795808640409e-05,0.00144018211752889,-1.28408544145064,-96.6532797858099,2241,0,106,100,"ENTPD1; ENTPD2; ENTPD3","NTPDase inhibitor","24868311"
"49","lylamine","HA1E","trt_cp","down",-0.331497046700371,4.57814304860547e-05,0.00146820057181935,-1.2837586865101,-80.4551539491299,2241,-0.850420787921296,106,100,"CNR1","Cannabinoid receptor agonist","62034"
"50","tyrphostin-AG-555","HA1E","trt_cp","down",-0.330060130733334,4.80226316933093e-05,0.00150746452329079,-1.27819407176367,-84.248103525212,2241,-0.0289153692869192,106,100,"CDK2; EGFR","EGFR inhibitor","5328770"
"51","H-89","HA1E","trt_cp","down",-0.328828332380763,5.02638329005639e-05,0.00156287192474852,-1.27342379748556,-83.8464970995091,2241,-0.963426017052849,106,100,"GSG2; KCNA2; KCNA3; KCNA5; KCNAB2; KCNC1; KCNC2; KCNC3; KCNE1; KCNE2; KCNE3; KCNE4; KCNH1; KCNH2; KCNQ1; KCNQ2; KCNQ3; KCNQ5; KCNS3; PKIA; PRKACA","PKA inhibitor","449241"
"52","NSC-3852","HA1E","trt_cp","down",-0.327468231707979,5.60082709463426e-05,0.00166596511301626,-1.2681566583946,-86.1222668451584,2241,-1.06601416856119,106,100,"HDAC1","HDAC inhibitor","19103"
"53","BAY-11-7082","HA1E","trt_cp","down",-0.327242427031054,5.60082709463426e-05,0.00166596511301626,-1.26728220500703,-82.5524319500223,2241,0,106,100,NA,NA,"5353431"
"54","SA-1919877","NKDBA","trt_cp","down",-0.326683546292413,5.60082709463426e-05,0.00166596511301626,-1.10505457014908,NA,229,-0.740386561999884,106,100,NA,NA,"54667404"
"55","trichostatin-a","HA1E","trt_cp","down",-0.326138388096503,5.94027116097573e-05,0.00172779178147975,-1.26300669309348,-82.6863007585899,2241,-0.991242491883706,106,100,"HDAC1; HDAC10; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","CDK activator; HDAC inhibitor; ID1 inhibitor","444732"
"56","BRD-K21064560","HA1E","trt_cp","down",-0.325738863239982,5.94027116097573e-05,0.00172779178147975,-1.26145948924915,-73.2262382864792,2241,-0.854600192731926,106,100,NA,NA,"16759163"
"57","FCCP","HA1E","trt_cp","down",-0.32399801088374,6.71054808075061e-05,0.00186789792609918,-1.25471784748643,-85.0959393128068,2241,-1.17669689186317,106,100,NA,"Mitochondrial oxidative phosphorylation uncoupler","3330"
"58","CGK-733","HA1E","trt_cp","down",-0.321895132877583,7.74193582078816e-05,0.00208796010903838,-1.24657422167151,-80.5890227576974,2241,-1.32368326992154,106,100,"ATM; ATR","ATR kinase inhibitor","6605258"
"59","BRD-K07079548","HA1E","trt_cp","down",-0.319347821128768,9.60452633866187e-05,0.00245897277113952,-1.23670947742314,-87.6840696117804,2241,-0.0265568971765951,106,100,NA,NA,"11957524"
"60","SR-27897","HA1E","trt_cp","down",-0.318778320554627,9.60452633866187e-05,0.00245897277113952,-1.23450402396193,-90.9861668897813,2241,0,106,100,"CCKAR","CCK receptor antagonist","122077"
"61","SA-425500","NKDBA","trt_cp","down",-0.317667796030221,0.000103269329413886,0.0026047449520003,-1.07455748468632,NA,229,0,106,100,NA,NA,"44498587"
"62","BRD-K99636700","HA1E","trt_cp","down",-0.31730873320507,0.00011184246801251,0.00278430794148587,-1.22881288570186,-95.1807228915663,2241,-1.10678120517881,106,100,NA,NA,"NotFound"
"63","brefeldin-a","HA1E","trt_cp","down",-0.315896228065876,0.000121808197652535,0.00298073350975501,-1.22334280456469,-87.594823739402,2241,-1.18097301068455,106,100,"ARF1; ARFGEF1; ARFGEF2; CYTH2; GBF1; SAR1A","Brefeldin A inhibited guanine nucleotide exchange protein inhibitor; Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor inhibitor; Protein synthesis inhibitor","5287620"
"64","scriptaid","HA1E","trt_cp","down",-0.315567076066615,0.000121808197652535,0.00298073350975501,-1.2220681273317,-83.3556448014279,2241,-1.24350934210678,106,100,"HDAC1; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5186"
"65","alprenolol","HA1E","trt_cp","down",-0.315114509794686,0.000131708649587495,0.00316073248064904,-1.2203155147863,-89.1566265060241,2241,0,106,100,"ADCY10; ADRB1; ADRB2; ADRB3","Adrenergic receptor antagonist","2119"
"66","AM-404","HA1E","trt_cp","down",-0.314364063202178,0.000142914655623768,0.00336292161487244,-1.21740932801485,-89.3351182507809,2241,0,106,100,"CNR1; CNR2; FAAH; TRPV1","Cyclooxygenase inhibitor; FAAH inhibitor; TRPV antagonist","6604822"
"67","SA-1921574","NKDBA","trt_cp","down",-0.313353269742941,0.000155447974996376,0.00359163757613547,-1.05996297251729,NA,229,-0.423277939023534,106,100,NA,NA,"54669029"
"68","thiothixene","HA1E","trt_cp","down",-0.31194095044469,0.000167807220488809,0.00380639122644803,-1.208025557988,-81.3922356091031,2241,0,106,100,"DRD1; HRH1","Dopamine receptor antagonist","6444849"
"69","rottlerin","HA1E","trt_cp","down",-0.311495622096848,0.000182864611123956,0.00404998846689761,-1.20630097509779,-84.0249888442659,2241,-1.16280043743685,106,100,"KCNH2; TGM2","MAP kinase inhibitor; Protein kinase inhibitor","5281847"
"70","CAM-9-027-3","HA1E","trt_cp","down",-0.309658109706898,0.000200206721436402,0.00434200098647064,-1.19918500674861,-86.9701026327532,2241,-1.19615548173231,106,100,NA,NA,"49849912"
"71","vorinostat","HA1E","trt_cp","down",-0.309543527030388,0.000200206721436402,0.00434200098647064,-1.19874127276136,-81.5261044176707,2241,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311"
"72","BRD-A06276885","HA1E","trt_cp","down",-0.308386972117913,0.000240221954641656,0.00503633218408392,-1.19426238696104,-73.9402052655065,2241,-0.849764534195374,106,100,NA,NA,"4257102"
"73","BRD-K11533227","HA1E","trt_cp","down",-0.308366635956678,0.000240221954641656,0.00503633218408392,-1.19418363294529,-95.8500669344043,2241,-0.559576591246273,106,100,NA,NA,"NotFound"
"74","forskolin","NKDBA","trt_cp","down",-0.306197091017825,0.000288462178685184,0.00582962527865274,-1.03575615801824,NA,229,-0.326924305053482,106,100,"ADCY1; ADCY2; ADCY4; ADCY5; ADCY6; ADCY7; GNAL; GNAS","Adenylyl cyclase activator","3413"
"75","cucurbitacin-i","HA1E","trt_cp","down",-0.303634945458462,0.000347690816414767,0.00677915959234493,-1.17585964231121,-66.9790272199911,2241,-0.999022328631821,106,100,"JAK2; STAT3","JAK inhibitor; Lipocortin synthesis stimulant; STAT inhibitor","73707401"
"76","T-98475","HA1E","trt_cp","down",-0.302469000416446,0.000416711109904199,0.0078452993718793,-1.17134439220392,-78.4471218206158,2241,-1.17144337410881,106,100,"GNRH1; GNRHR","Gonadotropin releasing factor hormone receptor antagonist","9874838"
"77","estradiol-cypionate","HA1E","trt_cp","down",-0.301679089983559,0.000416711109904199,0.0078452993718793,-1.16828537738048,-88.7996430165105,2241,-0.0225235323306348,106,100,"ESR1","Estrogen receptor agonist","9403"
"78","DR-2313","HA1E","trt_cp","down",-0.301624802075038,0.000416711109904199,0.0078452993718793,-1.16807514149805,-88.9335118250781,2241,-0.754627219030778,106,100,"PARP1; PARP3","PARP inhibitor","135522417"
"79","chlorphenesin-carbamate","HA1E","trt_cp","down",-0.301540332885387,0.000416711109904199,0.0078452993718793,-1.16774802529283,-88.4426595269969,2241,-0.0174968472370798,106,100,NA,NA,"2724"
"80","L-690488","HA1E","trt_cp","down",-0.301081120646087,0.000457096250104825,0.00843288449209849,-1.16596967550956,-87.7286925479697,2241,-1.12213854556072,106,100,"IMPA1","Inositol monophosphatase inhibitor","5132514"
"81","SA-1921617","NKDBA","trt_cp","down",-0.300449388289993,0.000502137866600136,0.00910664869671501,-1.01631371826474,NA,229,0,106,100,NA,NA,"54666572"
"82","COL-3","HA1E","trt_cp","down",-0.299941984454231,0.000502137866600136,0.00910664869671501,-1.16155824561609,-82.1062025881303,2241,-1.307350721143,106,100,NA,NA,"73707525"
"83","SB-225002","HA1E","trt_cp","down",-0.299542239617864,0.000502137866600136,0.00910664869671501,-1.16001018987568,-81.5261044176707,2241,0,106,100,"CXCR2","CC chemokine receptor antagonist","3854666"
"84","BRD-A47832959","NKDBA","trt_cp","down",-0.299394223938155,0.000548572074136847,0.0098017800307282,-1.01274447150441,NA,229,0,106,100,NA,NA,"3913264"
"85","vinpocetine","HA1E","trt_cp","down",-0.299334505929962,0.000548572074136847,0.0098017800307282,-1.15920571837592,-89.6028558679161,2241,0,106,100,"PDE1A; PDE1C; SCN10A","Phosphodiesterase inhibitor; Sodium channel blocker","5673"
"86","mitomycin-c","HA1E","trt_cp","down",-0.298690009689862,0.000548572074136847,0.0098017800307282,-1.15670983596946,-85.6314145470772,2241,-0.767397389355722,106,100,NA,"DNA alkylating agent; DNA inhibitor; DNA synthesis inhibitor","5746"
"87","benzyl-quinazolin-4-yl-amine","HA1E","trt_cp","down",-0.297096145676223,0.000660088153624029,0.011460147785397,-1.1505374226916,-83.4002677376171,2241,-0.023010748453832,106,100,"EGFR","EGFR inhibitor","6603129"
"88","nortriptyline","HA1E","trt_cp","down",-0.295985397913922,0.000722254288081566,0.0123344177120314,-1.14623593010647,-73.7170905845605,2241,-1.14763440930313,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4","Tricyclic antidepressant","441358"
"89","mebendazole","HA1E","trt_cp","down",-0.295760374702035,0.000722254288081566,0.0123344177120314,-1.145364503028,-72.512271307452,2241,0,106,100,"TUBA1A; TUBB; TUBB4B","Tubulin inhibitor","4030"
"90","menadione","HA1E","trt_cp","down",-0.295033088001869,0.000789512083534225,0.0131937517494178,-1.14254800548084,-68.0946006247211,2241,-0.870077040274882,106,100,"AOX1; BGLAP; CDC25A; F10; F2; F7; F9; GGCX; NQO1; NQO2; PKM; PROC; PROS1; PROZ; RP11-196G11.1; VKORC1; VKORC1L1","Mitochondrial DNA polymerase inhibitor; Phosphatase inhibitor","4055"
"91","carbamazepine","HA1E","trt_cp","down",-0.2948998924657,0.000789512083534225,0.0131937517494178,-1.14203219115229,-82.6416778224007,2241,0,106,100,"ABCB1; CHRNA4; CHRNB2; CYP1A2; CYP2B6; CYP3A4; EPHX1; HDAC3; IMPA1; NR1I2; SCN10A; SCN11A; SCN1A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SHBG","Carboxamide antiepileptic","2554"
"92","purvalanol-a","HA1E","trt_cp","down",-0.294501584962117,0.000789512083534225,0.0131937517494178,-1.14048970164079,-73.9402052655065,2241,-1.29695128133376,106,100,"CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC","CDK inhibitor; DYRK inhibitor","456214"
"93","CB7950998","HA1E","trt_cp","down",-0.294286775467568,0.000864711999769874,0.0141923945219373,-1.13965782830341,-86.3900044622936,2241,-1.13965782830341,106,100,NA,NA,"NotFound"
"94","BRD-K01121114","HA1E","trt_cp","down",-0.293009166580566,0.000944242003774879,0.015247219088362,-1.13471014770421,-83.6233824185631,2241,-0.976712863160132,106,100,NA,NA,"49843203"
"95","chelidonine","HA1E","trt_cp","down",-0.292480012801937,0.00103167061009283,0.0163487774335952,-1.13266094163563,-70.4596162427488,2241,-0.927760185912499,106,100,NA,"Tubulin inhibitor","10147"
"96","SA-1920013","NKDBA","trt_cp","down",-0.29206269794599,0.00103167061009283,0.0163487774335952,-0.987944519392473,NA,229,-0.934003361674922,106,100,NA,NA,"54666569"
"97","SA-96805","NKDBA","trt_cp","down",-0.290354652737966,0.00122939677873674,0.0187452416601279,-0.982166808257127,NA,229,-0.658051761532275,106,100,NA,NA,"44497527"
"98","sulconazole","HA1E","trt_cp","down",-0.28922879650295,0.0013420878569151,0.0201492942020223,-1.12007024978153,-85.586791610888,2241,-1.12357349046398,106,100,NA,"Sterol demethylase inhibitor","65495"
"99","tetrindole","HA1E","trt_cp","down",-0.288908945952663,0.0013420878569151,0.0201492942020223,-1.11883159343028,-71.173583221776,2241,-1.11980282657101,106,100,"MAOA","Monoamine oxidase inhibitor","160019"
"100","cercosporin","HA1E","trt_cp","down",-0.288347100878592,0.00146546271948921,0.0216201620343006,-1.11665578673309,-73.5832217759929,2241,-1.12019011028803,106,100,NA,"Photoactivated toxin","91617"
"101","BRD-A76641868","HA1E","trt_cp","down",-0.288040131622678,0.00146546271948921,0.0216201620343006,-1.11546701460768,-69.2994199018295,2241,-1.1160539746599,106,100,NA,NA,"663281"
"102","15-delta-prostaglandin-j2","HA1E","trt_cp","down",-0.286306200024672,0.00174604805509647,0.0249119479726835,-1.10875217424059,-79.0272199910754,2241,0,106,100,"NR1H4; PPARG","PPAR receptor agonist","6375741"
"103","AMG-9810","HA1E","trt_cp","down",-0.285578638472185,0.00174604805509647,0.0249119479726835,-1.10593461229766,-76.3498438197233,2241,-0.0300301425252654,106,100,"TRPV1","TRPV antagonist","680502"
"104","BRD-K48974000","HA1E","trt_cp","down",-0.285530788442289,0.00174604805509647,0.0249119479726835,-1.1057493078066,-78.6702365015618,2241,-0.0141280712129405,106,100,NA,NA,"1398345"
"105","Y-27152","HA1E","trt_cp","down",-0.285277063364249,0.00190314973195451,0.0267628975158205,-1.10476672960217,-77.9116465863454,2241,0,106,100,"ABCC9; KCNJ8","Potassium channel activator","6918184"
"106","KUC111774N","HA1E","trt_cp","down",-0.284187742895838,0.00207102223014839,0.0286415581127593,-1.10054821656372,-64.524765729585,2241,-1.3390005929165,106,100,NA,NA,"12387471"
"107","thioridazine","HA1E","trt_cp","down",-0.284011292968896,0.00207102223014839,0.0286415581127593,-1.09986489486085,-74.6541722445337,2241,-1.10247802513699,106,100,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","Dopamine receptor antagonist","5452"
"108","erythrosine","HA1E","trt_cp","down",-0.283751036818272,0.00207102223014839,0.0286415581127593,-1.09885702436123,-67.5591253904507,2241,-0.0281168324162375,106,100,NA,"Coloring agent","12961638"
"109","BL003-049-HDAC3","HA1E","trt_cp","down",-0.283342892771758,0.00225214610247059,0.0306574722408586,-1.09727644175793,-84.0696117804551,2241,-0.484376607751024,106,100,NA,NA,"NotFound"
"110","tacedinaline","HA1E","trt_cp","down",-0.282410249479865,0.00244839264313301,0.0328137452049637,-1.09366467827677,-63.4538152610442,2241,-1.16656483528051,106,100,"HDAC1","HDAC inhibitor","2746"
"111","KF-38789","HA1E","trt_cp","down",-0.28235058242624,0.00244839264313301,0.0328137452049637,-1.09343361106471,-61.9812583668005,2241,0,106,100,"SELP","P-selectin inhibitor","5310849"
"112","AG-592","HA1E","trt_cp","down",-0.281264684463044,0.00266420073608011,0.0351020668082848,-1.08922835205322,-68.0946006247211,2241,-0.895114201252141,106,100,NA,"Tyrosine kinase inhibitor","NotFound"
"113","tyrphostin-AG-556","HA1E","trt_cp","down",-0.280425513749747,0.00289317316621545,0.0373374518468399,-1.08597857138886,-71.0843373493976,2241,-0.853739981212081,106,100,"EGFR","EGFR inhibitor","2059"
"114","BRD-K61627029","HA1E","trt_cp","down",-0.280172619120091,0.00289317316621545,0.0373374518468399,-1.08499920918693,-86.2115127175368,2241,0,106,100,NA,NA,"1248117"
"115","BRD-K05402890","HA1E","trt_cp","down",-0.279281990872144,0.00313813863409187,0.0400712139673037,-1.08155015357351,-76.0374832663989,2241,0,106,100,NA,NA,"17757146"
"116","clebopride","HA1E","trt_cp","down",-0.275751252253934,0.00400060943265449,0.0486380971129815,-1.06787698086793,-64.8817492190986,2241,0,106,100,"ACHE","Dopamine receptor antagonist","2780"
