"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"39","MDM2-inhibitor","HA1E","trt_cp","down",-0.286935627348409,0.00159862923782317,0.0346867824614739,-1.16764491596065,-78.4024988844266,2241,-0.0298489167266131,100,100,"MDM2","MDM inhibitor","10022508"
"40","prunetin","HA1E","trt_cp","down",-0.283617842525651,0.00207102223014839,0.0419646814853171,-1.15414364873795,-89.2904953145917,2241,-0.0115414364873795,100,100,"ABCG2; ALDH2","Breast cancer resistance protein inhibitor","5281804"
"41","L-152804","HA1E","trt_cp","down",-0.281950563637859,0.00244839264313301,0.0471379691277003,-1.14735888751882,-87.2378402498884,2241,0.820017097040362,100,100,"NPY5R","Neuropeptide receptor antagonist","3765615"
"42","JAS07-010","HA1E","trt_cp","down",-0.281717147470482,0.00244839264313301,0.0471379691277003,-1.14640903265535,-91.3877733154842,2241,0,100,100,NA,NA,"24747180"
"43","I-OMe-AG-538","HA1E","trt_cp","down",-0.279432621915382,0.00313813863409187,0.0564889538066299,-1.13711247135187,-89.0227576974565,2241,0,100,100,NA,"IGF-1 inhibitor","NotFound"
"44","thalidomide","HA1E","trt_cp","down",-0.279358206349742,0.00313813863409187,0.0564889538066299,-1.13680964748267,-79.0718429272646,2241,0,100,100,"CRBN; CYP1A2; CYP2B6; CYP3A5; DDB1; FGF2; FGFR2; IL10; NFKB1; ORM1; ORM2; TNF; VEGFA","TNF production inhibitor","5426"
"45","candesartan-cilextil","HA1E","trt_cp","down",-0.278791410415368,0.00313813863409187,0.0564889538066299,-1.13450314968985,-89.3351182507809,2241,0,100,100,NA,NA,"2540"
"46","MRS-1754","HA1E","trt_cp","down",-0.278748096207655,0.00313813863409187,0.0564889538066299,-1.13432688850231,-69.2101740294511,2241,0,100,100,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor antagonist","6603931"
"47","CITCO","HA1E","trt_cp","down",-0.278486032360827,0.00340555963251089,0.0599180315741464,-1.13326045586293,-82.0615796519411,2241,0,100,100,"NR1I3","CAR agonist","9600409"
"48","CGP-57380","HA1E","trt_cp","down",-0.278375966173305,0.00340555963251089,0.0599180315741464,-1.13281255671054,-77.9116465863454,2241,0,100,100,"AURKB; LCK; MKNK1; MKNK2; SGK1","MAP kinase inhibitor","11644425"
"49","UNC-0321","HA1E","trt_cp","down",-0.27827762501124,0.00340555963251089,0.0599180315741464,-1.13241237093028,-89.0227576974565,2241,-1.05474607736613,100,100,"EHMT2","Histone lysine methyltransferase inhibitor","46901937"
"50","sonidegib","HA1E","trt_cp","down",-0.274662136484157,0.00432997897318083,0.0716817412433351,-1.1176996395892,-85.6314145470772,2241,0,100,100,"SMO",NA,"24775005"
"51","MNITMT","HA1E","trt_cp","down",-0.273777601922494,0.00468130358184425,0.0758850043764495,-1.11410014832538,-85.8991521642124,2241,-1.05079203095789,100,100,NA,"Lymphocyte inhibitor","364622"
"52","formestane","HA1E","trt_cp","down",-0.273563921462612,0.00468130358184425,0.0758850043764495,-1.11323060519849,-65.7295850066934,2241,0,100,100,"CYP19A1","Aromatase inhibitor","44511091"
"53","ZK-93426","HA1E","trt_cp","down",-0.273319165239451,0.00506602861626627,0.0804194856957281,-1.11223460354382,-84.6497099509148,2241,0,100,100,"GABRA2; GABRA3; GABRA5","Benzodiazepine receptor antagonist","115210"
"54","VAMA-37","HA1E","trt_cp","down",-0.272754895722515,0.00506602861626627,0.0804194856957281,-1.10993838665792,-80.5890227576974,2241,-0.0221987677331585,100,100,"PRKDC","DNA dependent protein kinase inhibitor","NotFound"
"55","VER-155008","HA1E","trt_cp","down",-0.272579308188677,0.00506602861626627,0.0804194856957281,-1.10922385743377,-82.4185631414547,2241,-0.677966030368356,100,100,"HSPA1A","HSP inhibitor","25195348"
"56","clomipramine","HA1E","trt_cp","down",-0.271087584950749,0.00591107026757636,0.089831066539927,-1.10315349569137,-77.153056671129,2241,0,100,100,"HTR2B; SLC6A2; SLC6A3; SLC6A4","Serotonin transporter inhibitor (SERT)","2801"
"57","mebeverine","HA1E","trt_cp","down",-0.271019336343481,0.00591107026757636,0.089831066539927,-1.10287576740773,-78.714859437751,2241,0,100,100,"CHRM1; CHRM4; IL13","Acetylcholine receptor antagonist","4031"
"58","BRD-K11533227","HA1E","trt_cp","down",-0.270779507335166,0.00591107026757636,0.089831066539927,-1.10189981637353,-90.8522980812137,2241,0,100,100,NA,NA,"NotFound"
"59","isogedunin","HA1E","trt_cp","down",-0.270751105882931,0.00591107026757636,0.089831066539927,-1.10178424058528,-71.0397144132084,2241,-0.0207148608128386,100,100,NA,"HSP inhibitor","6708584"
"60","BRD-K87964538","HA1E","trt_cp","down",-0.270397054524949,0.00637667437857474,0.0950832082225117,-1.10034347747072,-84.6050870147256,2241,0,100,100,NA,NA,"665518"
"61","tetrahydrozoline","HA1E","trt_cp","down",-0.270380093849189,0.00637667437857474,0.0950832082225117,-1.10027445834261,-71.7090584560464,2241,0,100,100,NA,NA,"5419"
"62","AS-605240","HA1E","trt_cp","down",-0.270329639910426,0.00637667437857474,0.0950832082225117,-1.1000691430054,-63.9892904953146,2241,-0.0417296432078849,100,100,"MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor","10377751"
"63","methylnorlichexanthone","HA1E","trt_cp","down",-0.270102794729995,0.00637667437857474,0.0950832082225117,-1.099146027866,-83.9357429718875,2241,-0.01099146027866,100,100,"AURKB; KDR; PIM1","Aurora kinase inhibitor; PIM inhibitor; VEGFR inhibitor","5377914"
"64","mitotane","HA1E","trt_cp","down",-0.269813271666649,0.00637667437857474,0.0950832082225117,-1.09796785373651,-70.8165997322624,2241,0,100,100,"AR; CYP11A1; CYP11B1; CYP3A4; ESR1; FDX1; PGR","Antineoplastic","4211"
"65","BRD-K01121114","HA1E","trt_cp","down",-0.26915072565146,0.0068820108527231,0.10065871761545,-1.09527171421081,-80.9013833110219,2241,0,100,100,NA,NA,"49843203"
"66","BMY-7378","HA1E","trt_cp","down",-0.269128718942953,0.0068820108527231,0.10065871761545,-1.09518216094919,-80.5890227576974,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D","Adrenergic receptor antagonist; Serotonin receptor antagonist","2419"
"67","beta-CCP","HA1E","trt_cp","down",-0.266769800074247,0.00798516054986283,0.113086606542218,-1.08558286632809,-81.4368585452923,2241,0,100,100,"GABRG2; IDO1","Indoleamine 2,3-dioxygenase inhibitor","123662"
"68","SB-216763","HA1E","trt_cp","down",-0.266519426044392,0.00798516054986283,0.113086606542218,-1.08456400378477,-75.7697456492637,2241,0,100,100,"CDK2; GSK3A; GSK3B","Glycogen synthase kinase inhibitor","176158"
"69","ramipril","HA1E","trt_cp","down",-0.266331011902461,0.0085973783864387,0.119727612462781,-1.08379727845005,-89.9152164212405,2241,-0.0163686993085481,100,100,"ACE; BDKRB1","ACE inhibitor","5362129"
"70","ergometrine","HA1E","trt_cp","down",-0.266061880110293,0.0085973783864387,0.119727612462781,-1.08270208378304,-57.4743418116912,2241,0,100,100,"ADRA1A; HTR1E","Adrenergic receptor agonist; Serotonin receptor agonist","3250"
"71","benzopurpurin-4b","HA1E","trt_cp","down",-0.265401873314862,0.00925109108420132,0.126342687032855,-1.08001627726153,-79.607318161535,2241,0,100,100,NA,"HIV entry inhibitor","13816"
"72","BRD-K19290969","HA1E","trt_cp","down",-0.264661107201254,0.00925109108420132,0.126342687032855,-1.0770018318458,-87.7733154841589,2241,0,100,100,NA,NA,"717880"
"73","methoxsalen","HA1E","trt_cp","down",-0.264106869421818,0.00993996670575931,0.133178166160313,-1.0747464377305,-85.0513163766176,2241,-0.0147095938924526,100,100,"ACHE; CYP1A2","DNA synthesis inhibitor","4114"
"74","benzyl-quinazolin-4-yl-amine","HA1E","trt_cp","down",-0.263984785328853,0.00993996670575931,0.133178166160313,-1.07424963337132,-76.6175814368585,2241,0,100,100,"EGFR","EGFR inhibitor","6603129"
"75","apigenin","HA1E","trt_cp","down",-0.263107220716848,0.0106730570928818,0.14002027169868,-1.07067850535525,-76.2159750111557,2241,0,100,100,"AKR1B1; AR; CDK6; CFTR; CYP19A1; CYP1A2; CYP1B1; HSD17B1; MAOA; ODC1; TNKS2","Casein kinase inhibitor; Cell proliferation inhibitor; Cytochrome P450 inhibitor","5280443"
"76","O-1918","HA1E","trt_cp","down",-0.2623246567665,0.0114617205662501,0.14783464225164,-1.06749396941427,-70.058009817046,2241,0,100,100,NA,"Cannabinoid receptor antagonist","40469923"
"77","RLM-2-12","HA1E","trt_cp","down",-0.261379460939334,0.0122900293658284,0.15537842903329,-1.06364762550648,-68.9870593485051,2241,0,100,100,NA,NA,"1560402"
"78","BRD-K78716413","HA1E","trt_cp","down",-0.2612446682307,0.0122900293658284,0.15537842903329,-1.06309910519062,-75.4127621597501,2241,0,100,100,NA,NA,"952391"
"79","pifithrin-mu","HA1E","trt_cp","down",-0.260419011065221,0.0131762177305649,0.163390788458133,-1.0597392073609,-64.2124051762606,2241,0,100,100,"HSPA1A; TP53","HSP inhibitor","327653"
"80","ephedrine-(racemic)","HA1E","trt_cp","down",-0.260246506630124,0.0131762177305649,0.163390788458133,-1.05903722438136,-83.1771530566711,2241,0,100,100,NA,NA,"NotFound"
"81","mephenytoin","HA1E","trt_cp","down",-0.260136607306782,0.0131762177305649,0.163390788458133,-1.05859000425972,-78.8933511825078,2241,0,100,100,"NR1I2; SCN5A","Hydantoin antiepileptic","4060"
"82","evoxine","HA1E","trt_cp","down",-0.260023355258053,0.0131762177305649,0.163390788458133,-1.05812914068504,-73.0923694779116,2241,0,100,100,NA,"Furoquinoline alkaloid","673465"
"83","levomepromazine","HA1E","trt_cp","down",-0.259442882313903,0.0141064467869857,0.171637772979273,-1.05576698618944,-80.9460062472111,2241,-0.0289358709626789,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1","Dopamine receptor antagonist","45479743"
"84","BRD-K42867405","HA1E","trt_cp","down",-0.259099972814548,0.0141064467869857,0.171637772979273,-1.05437156333012,-76.3498438197233,2241,-0.0210874312666023,100,100,NA,NA,"2482839"
"85","azacyclonol","HA1E","trt_cp","down",-0.257739975492178,0.0150961655919563,0.180760652929636,-1.04883724201261,-78.3132530120482,2241,0,100,100,"HRH1","Histamine receptor antagonist","15723"
"86","BRD-K87657228","HA1E","trt_cp","down",-0.257449683726511,0.0161436769251451,0.189308195144671,-1.04765593975518,-81.2583668005355,2241,-0.0179357130299384,100,100,NA,NA,"44229067"
"87","rosuvastatin","HA1E","trt_cp","down",-0.25517614094813,0.0184415609396317,0.20956982555433,-1.03840407134508,-60.2855867916109,2241,0,100,100,"APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor","446157"
"88","SA-1459020","NKDBA","trt_cp","down",-0.255045378043354,0.0184415609396317,0.20956982555433,-1.21713041871819,NA,229,0,100,100,NA,NA,"54657758"
"89","AMN-082","HA1E","trt_cp","down",-0.254937735656172,0.0184415609396317,0.20956982555433,-1.03743391392801,-58.6791610887996,2241,0,100,100,"GRM7","Glutamate receptor modulator; Glutamate receptor positive allosteric modulator","1894361"
"90","cinanserin","HA1E","trt_cp","down",-0.253964795968033,0.019688430384091,0.220199928627716,-1.03347467020882,-71.4413208389112,2241,0,100,100,NA,"Serotonin receptor antagonist","5475158"
"91","nadolol","HA1E","trt_cp","down",-0.253566669678529,0.019688430384091,0.220199928627716,-1.03185455024622,-73.6724676483713,2241,-0.0274106764773862,100,100,"ADRB1; ADRB2; ADRB3","Adrenergic receptor antagonist","39147"
"92","dicyclohexylurea","HA1E","trt_cp","down",-0.253106514843462,0.0210093900237998,0.230761837460264,-1.02998201368223,-69.5671575189647,2241,-1.03049690762192,100,100,"EPHX2","Epoxide hydolase inhibitor","4277"
"93","BRD-K48974000","HA1E","trt_cp","down",-0.253025973089575,0.0210093900237998,0.230761837460264,-1.02965426013584,-70.504239178938,2241,0,100,100,NA,NA,"1398345"
"94","BRD-K19433082","HA1E","trt_cp","down",-0.252922842736805,0.0210093900237998,0.230761837460264,-1.02923458540529,-69.9241410084784,2241,-0.0200711415386725,100,100,NA,NA,"1999882"
"95","BRD-K32862555","HA1E","trt_cp","down",-0.252752885617761,0.0210093900237998,0.230761837460264,-1.0285429683767,-72.6015171798304,2241,0,100,100,NA,NA,"1580719"
"96","phenylalanyltyrosine","HA1E","trt_cp","down",-0.251012502484735,0.0238390479829864,0.253598909515306,-1.02146071952569,-70.5934850513164,2241,-0.954457082194113,100,100,NA,NA,"515709"
"97","BRD-K00863322","HA1E","trt_cp","down",-0.250934239310318,0.0238390479829864,0.253598909515306,-1.02114223834383,-79.9196787148594,2241,0.0196016399551663,100,100,NA,NA,"4675130"
"98","BRD-A98200599","HA1E","trt_cp","down",-0.250157479844684,0.0253670249846935,0.265671604420368,-1.01798132295192,-71.9321731369924,2241,0,100,100,NA,NA,"570188"
"99","JTE-013","HA1E","trt_cp","down",-0.250130854685206,0.0253670249846935,0.265671604420368,-1.01787297554178,-77.5100401606426,2241,-0.883396667625352,100,100,"P2RY10; S1PR2","Lysophospholipid receptor antagonist","10223146"
"100","BRD-K35790918","HA1E","trt_cp","down",-0.24961506564238,0.0253670249846935,0.265671604420368,-1.01577404325118,-79.9643016510486,2241,-0.0181209517021305,100,100,NA,NA,"44142086"
"101","EMD-386088","HA1E","trt_cp","down",-0.249466088948385,0.0269838449429949,0.277731148533096,-1.01516780316539,-67.9607318161535,2241,0,100,100,"HTR6","Serotonin receptor agonist","10131112"
"102","BRD-K18953385","HA1E","trt_cp","down",-0.2488989626268,0.0269838449429949,0.277731148533096,-1.01285996090745,-74.8326639892905,2241,-0.0202571992181489,100,100,NA,NA,"2160985"
"103","CAM-9-027-3","HA1E","trt_cp","down",-0.248895122603787,0.0269838449429949,0.277731148533096,-1.01284433446402,-72.2445336903168,2241,0,100,100,NA,NA,"49849912"
"104","cinchonine","HA1E","trt_cp","down",-0.248627441766961,0.0269838449429949,0.277731148533096,-1.01175504425942,-48.9067380633646,2241,0,100,100,"CYP2D6","P-glycoprotein inhibitor","90454"
"105","metergoline","HA1E","trt_cp","down",-0.248526690195376,0.0269838449429949,0.277731148533096,-1.01134504965044,-68.3623382418563,2241,0,100,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A","Dopamine receptor agonist; Serotonin receptor antagonist","28693"
"106","isorotenone","HA1E","trt_cp","down",-0.248332935355449,0.0286771268531633,0.290731533568051,-1.01055659108267,-53.8598839803659,2241,0.0226843594402642,100,100,"MT-ND1","Mitochondrial complex I inhibitor; NADH-ubiquinone oxidoreductase (Complex I) inhibitor","6453092"
"107","6-benzylaminopurine","HA1E","trt_cp","down",-0.247702426861244,0.0286771268531633,0.290731533568051,-1.00799082382493,-70.1918786256136,2241,-1.00858603736476,100,100,NA,"Purinergic receptor activator","62389"
"108","tyrphostin-AG-538","HA1E","trt_cp","down",-0.247226513257432,0.0304563795009032,0.304140238231966,-1.00605415912748,-70.1026327532352,2241,0,100,100,"EGFR","IGF-1 inhibitor","5328760"
"109","MR-16728","HA1E","trt_cp","down",-0.246745088626028,0.0304563795009032,0.304140238231966,-1.00409506806419,-54.6630968317715,2241,0,100,100,NA,"Acetylcholine release enhancer; Acetylcholine release stimulant","378811"
"110","benzoxiquine","HA1E","trt_cp","down",-0.246251863534173,0.0323253672338734,0.314451408995329,-1.00208795665648,-68.8978134761267,2241,0.242905219582492,100,100,NA,"Anti-infective","6855"
"111","dihydroobliquin","HA1E","trt_cp","down",-0.246239338830285,0.0323253672338734,0.314451408995329,-1.0020369891034,-79.1164658634538,2241,0,100,100,NA,NA,"NotFound"
"112","meclizine","HA1E","trt_cp","down",-0.246021597048982,0.0323253672338734,0.314451408995329,-1.00115091898976,-72.06604194556,2241,0,100,100,"NR1I3",NA,"92303"
"113","YM-976","HA1E","trt_cp","down",-0.24599308097012,0.0323253672338734,0.314451408995329,-1.00103487674428,-77.2869254796966,2241,0,100,100,"PDE4A; PDE4B; PDE4C; PDE4D; TNF","Phosphodiesterase inhibitor","6604918"
"114","phenoxybenzamine","HA1E","trt_cp","down",-0.245750792031309,0.0323253672338734,0.314451408995329,-1.00004891536259,-71.3074520303436,2241,0.023794039840395,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB2; CALM1; CALM2; CALM3","Adrenergic receptor antagonist","5284441"
"115","SANT-1","HA1E","trt_cp","down",-0.245508584564165,0.0323253672338734,0.314451408995329,-0.999063285518602,-61.2672913877733,2241,-0.023189450143183,100,100,"DHH; IHH; PTCH1; SMO","Smoothened receptor antagonist","6878030"
"116","BRD-K98404142","HA1E","trt_cp","down",-0.245160350311893,0.0342699465493095,0.314451408995329,-0.997646194312515,-79.9196787148594,2241,0,100,100,NA,NA,"16219061"
"117","BRD-K93975822","HA1E","trt_cp","down",-0.244990059980014,0.0342699465493095,0.314451408995329,-0.996953221320304,-68.9870593485051,2241,0.0146953775871029,100,100,NA,NA,"44142065"
"118","sulfafurazole","HA1E","trt_cp","down",-0.244578438703149,0.0342699465493095,0.314451408995329,-0.995278185369994,-48.995983935743,2241,0,100,100,NA,"Bacterial antifolate","5344"
"119","napelline","HA1E","trt_cp","down",-0.244541043710959,0.0342699465493095,0.314451408995329,-0.995126011612709,-55.3324408746095,2241,-0.0199025202322542,100,100,NA,NA,"441749"
"120","coumaric-acid","HA1E","trt_cp","down",-0.244296048716732,0.0363066327065934,0.314451408995329,-0.99412903831215,-78.3578759482374,2241,-0.0250233925101547,100,100,NA,"Antioxidant","NotFound"
"121","SC-560","HA1E","trt_cp","down",-0.244092655916658,0.0363066327065934,0.314451408995329,-0.993301359396346,-59.1253904506917,2241,0,100,100,NA,"Cyclooxygenase inhibitor","4306515"
"122","BRD-K06956503","HA1E","trt_cp","down",-0.24339332511217,0.0384308997848403,0.314451408995329,-0.990455529249768,-66.4435519857207,2241,0,100,100,NA,NA,"44820570"
"123","mead-ethanolamide","HA1E","trt_cp","down",-0.242774264647763,0.0384308997848403,0.314451408995329,-0.987936348168573,-70.058009817046,2241,0,100,100,NA,"Cannabinoid receptor agonist","16061185"
"124","diclofenamide","HA1E","trt_cp","down",-0.242360629668293,0.0406627445210355,0.314451408995329,-0.986253117733565,-64.301651048639,2241,-0.0295875935320067,100,100,"CA1; CA12; CA3; CA4; CA7","Carbonic anhydrase inhibitor","3038"
"125","BRD-K22006123","HA1E","trt_cp","down",-0.241682835564106,0.0406627445210355,0.314451408995329,-0.983494928215115,-60.5087014725569,2241,0,100,100,NA,NA,"24747212"
