"","entrezgene_id","ensembl_gene_id","mouse_ensembl_gene_id","LFC"
"83",8608,"ENSG00000139547","ENSMUSG00000056148",-2.29357856208616
"84",5816,"ENSG00000100362","ENSMUSG00000005716",-2.28473506742893
"85",354,"ENSG00000142515","ENSMUSG00000038968",-2.23036892467029
"86",3816,"ENSG00000167748","ENSMUSG00000038968",-2.23036892467029
"87",3817,"ENSG00000167751","ENSMUSG00000038968",-2.23036892467029
"88",10912,"ENSG00000130222","ENSMUSG00000021453",-2.22771148070895
"89",56139,"ENSG00000250120","ENSMUSG00000103770",-2.22132632307107
"90",56253,"ENSG00000109943","ENSMUSG00000032021",-2.21063953411553
"91",1548,"ENSG00000255974","ENSMUSG00000074254",-2.20577352963975
"92",1553,"ENSG00000197838","ENSMUSG00000074254",-2.20577352963975
"93",2838,"ENSG00000154165","ENSMUSG00000047293",-2.17435449377205
"94",10465,"ENSG00000171960","ENSMUSG00000033036",-2.15548378100557
"95",8817,"ENSG00000156427","ENSMUSG00000057967",-2.1519222670052
"96",1263,"ENSG00000173846","ENSMUSG00000028680",-2.09931738746261
"97",64064,"ENSG00000198754","ENSMUSG00000076436",-2.09891884181185
"98",7447,"ENSG00000163032","ENSMUSG00000054459",-2.07228753107683
"99",1158,"ENSG00000104879","ENSMUSG00000030399",-2.0691697734322
"100",83445,"ENSG00000111305","ENSMUSG00000030206",-2.069163602088
